Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5,Alt Kategori (Set),Nadirlik (Rarity)
THE RAMONES,PUNK,DERI CEKET,NEW YORK,HEY HO LET'S GO,ROCK,Müzik İkonları & Tarzlar,Rare
THE CLASH,PUNK,SHOULD I STAY,LONDRA,ROCK,INGILTERE,Müzik İkonları & Tarzlar,Rare
THE POLICE,STING,EVERY BREATH YOU TAKE,INGILTERE,ROCK,BASS,Müzik İkonları & Tarzlar,Rare
THE CURE,ROBERT SMITH,GOTIK,MAKYAJ,SAÇ,INGILTERE,Müzik Evreni & Enstrümanlar,Rare
THE WHO,ROCK,INGILTERE,GITAR PARÇALAMAK,DAVUL,BABA O RILEY,Müzik İkonları & Tarzlar,Rare
THE DOORs,JIM MORRISON,SHAMAN,ROCK,PIYANO,AMERIKA,Müzik İkonları & Tarzlar,Rare
THE BEACH BOYS,SURF,KALIFORNIYA,HARMONI,KOKOMO,POP,Müzik İkonları & Tarzlar,Rare
THE SMITHS,MORRISSEY,INGILTERE,GITAR,MELANKOLI,VEJARYEN,Müzik Evreni & Enstrümanlar,Rare
JOY DIVISION,IAN CURTIS,POST PUNK,INGILTERE,DANS,LOVE TEAR US APART,Müzik Evreni & Enstrümanlar,Rare
NEW ORDER,BLUE MONDAY,ELEKTRONIK,INGILTERE,DAVUL,DANS,Müzik Evreni & Enstrümanlar,Rare
KRAFTWERK,ALMANYA,ROBOT,ELEKTRONIK,TEKNO,SINYAL,Müzik Evreni & Enstrümanlar,Rare
PET SHOP BOYS,SYNTHPOP,INGILTERE,DANS,IKILI,WEST END GIRLS,Müzik İkonları & Tarzlar,Rare
DURAN DURAN,POP ROCK,INGILTERE,SAÇ,80LER,RIO,Müzik İkonları & Tarzlar,Rare
GENESIS,PHIL COLLINS,PETER GABRIEL,ROCK,INGILTERE,BATERI,Müzik İkonları & Tarzlar,Rare
MICHAEL JACKSON,MOONWALK,POP,ELDIVEN,BILLIE JEAN,THRILLER,Efsanevi Sanatçılar & Gruplar,Legendary
MADONNA,POP,SARISIN,DANS,KRALIÇE,LIKE A VIRGIN,Efsanevi Sanatçılar & Gruplar,Legendary
BOB MARLEY,REGGAE,JAMAIKA,SAÇ,RASTAFARYAN,NO WOMAN NO CRY,Müzik Evreni & Enstrümanlar,Rare
EMINEM,DETROIT,RAP,SLIM SHADY,8 MILE,LOSE YOURSELF,Müzik İkonları & Tarzlar,Rare
BILLIE EILISH,GRAMMY,BAD GUY,YEŞIL SAÇ,GENÇ,DEPRESIF,Müzik Evreni & Enstrümanlar,Rare
ELVIS PRESLEY,ROCK AND ROLL,DANS,SAÇ,AMERIKA,KRAL,Efsanevi Sanatçılar & Gruplar,Legendary
ELTON JOHN,PIYANO,GÖZLÜK,INGILTERE,CANDLE IN THE WIND,ROKET ADAM,Müzik Evreni & Enstrümanlar,Rare
DAVID BOWIE,MAKYAJ,GÖZ,UZAY,INGILTERE,HEROES,Müzik Evreni & Enstrümanlar,Rare
JIMI HENDRIX,GITAR,SOLAK,SOLO,FESTIVAL,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
STEVIE WONDER,GÖZLÜK,KÖR,PIYANO,SOUL,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
BOB DYLAN,GITAR,ARMONIKA,NOBEL,FOLK,LIKE A ROLLING STONE,Müzik Evreni & Enstrümanlar,Rare
BRUCE SPRINGSTEEN,AMERIKA,ROCK,BOSS,GITAR,BORN IN USA,Müzik İkonları & Tarzlar,Rare
PRINCE,MOR,PURPLE RAIN,GITAR,DANS,KÜÇÜK,Müzik Evreni & Enstrümanlar,Rare
WHITNEY HOUSTON,SES,I WILL ALWAYS LOVE YOU,Zenci,AKTRIS,DRAM,Müzik Evreni & Enstrümanlar,Rare
CELINE DION,TITANIC,MY HEART WILL GO ON,KANADA,SES,AŞK,Efsanevi Sanatçılar & Gruplar,Legendary
MARIAH CAREY,NOEL,ALL I WANT FOR CHRISTMAS,SES,POP,AMERIKA,Müzik İkonları & Tarzlar,Rare
SHAKIRA,WAKA WAKA,KOLOMBIYA,DANS,KALÇA,PIQUE,Müzik Evreni & Enstrümanlar,Rare
BEYONCE,SINGLE LADIES,JAY Z,Zenci,DANS,POP,Müzik İkonları & Tarzlar,Rare
RIHANNA,BARBADOS,UMBRELLA,MAKYAJ,FENTY,POP,Müzik İkonları & Tarzlar,Rare
TAYLOR SWIFT,COUNTRY,POP,GIRLFRIEND,SARISIN,TURNUVA,Müzik İkonları & Tarzlar,Rare
LADY GAGA,ET ELBISE,MARJINAL,POKER FACE,PIYANO,OSCAR,Müzik Evreni & Enstrümanlar,Rare
ADELE,HELLO,INGILTERE,SES,KILO,DRAM,Müzik Evreni & Enstrümanlar,Rare
BRUNO MARS,UPTOWN FUNK,DANS,ŞAPKA,AMERIKA,POP,Müzik İkonları & Tarzlar,Rare
JUSTIN BIEBER,BABY,KANADA,SAÇ,GENÇ,HAILEY,Müzik Evreni & Enstrümanlar,Rare
ED SHEERAN,KIZIL,GITAR,SHAPE OF YOU,INGILTERE,POP,Müzik İkonları & Tarzlar,Rare
THE WEEKND,KANADA,BLINDING LIGHTS,SAÇ,Zenci,POP,Müzik İkonları & Tarzlar,Rare
DRAKE,RAP,KANADA,DANS,HOTLINE BLING,KAS,Müzik İkonları & Tarzlar,Rare
SNOOP DOGG,RAP,YEŞIL,LOS ANGELES,BIYIK,ZAYIF,Müzik İkonları & Tarzlar,Rare
TUPAC SHAKUR,RAP,2PAC,ÖLÜM,DETROIT,GANGSTER,Müzik İkonları & Tarzlar,Rare
NOTORIOUS BIG,RAP,BIGGIE,ÖLÜM,DOĞU YAKASI,ŞIŞMAN,Müzik İkonları & Tarzlar,Rare
JAY Z,BEYONCE,RAP,ZENGIN,NEW YORK,PLAK,Müzik İkonları & Tarzlar,Rare
KANYE WEST,RAP,KIM KARDASHIAN,KAYNE,TASARIMCI,YEEZY,Müzik İkonları & Tarzlar,Rare
LANA DEL REY,SUMMERTIME SADNESS,DEPRESIF,AMERIKA,AŞK,DUDAK,Müzik Evreni & Enstrümanlar,Rare
DUA LIPA,ARNAVUT,INGILTERE,DANS,POP,GÜZEL,Müzik İkonları & Tarzlar,Rare
ARIANA GRANDE,AT KUYRUĞU SAÇ,SES,POP,AMERIKA,GENÇ,Müzik İkonları & Tarzlar,Rare
SELENA GOMEZ,JUSTIN BIEBER,GENÇ,AKTRIS,POP,AMERIKA,Müzik İkonları & Tarzlar,Rare
MILEY CYRUS,FLOWERS,HANNAH MONTANA,POP,AMERIKA,SAÇ,Müzik İkonları & Tarzlar,Rare
POST MALONE,DÖVME,SAKAL,ROCKSTAR,AMERIKA,RAP,Müzik İkonları & Tarzlar,Rare
TRAVIS SCOTT,KARDASHIAN,RAP,KONSER,AMERIKA,OT,Müzik İkonları & Tarzlar,Rare
ASAP ROCKY,RIHANNA,RAP,MODA,DÖVME,AMERIKA,Müzik İkonları & Tarzlar,Rare
KENDRICK LAMAR,RAP,PULITZER,COMPTON,Zenci,AMERIKA,Müzik İkonları & Tarzlar,Rare
FRANK SINATRA,MY WAY,CAZ,GÖZ,MAVİ,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
ARETHA FRANKLIN,RESPECT,SES,SOUL,Zenci,Kraliçe,Müzik Evreni & Enstrümanlar,Rare
RAY CHARLES,PIYANO,GÖZLÜK,KÖR,SOUL,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
LOUIS ARMSTRONG,TROMPE,CAZ,SES,NEW ORLEANS,Zenci,Müzik Evreni & Enstrümanlar,Rare
ELLA FITZGERALD,CAZ,SES,SOUL,Zenci,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
JOHNNY CASH,KOVBOY,GITAR,SIYAH,FOLK,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
AMY WINEHOUSE,BACK TO BLACK,SAÇ,INGILTERE,DÖVME,27 KULÜBÜ,Müzik Evreni & Enstrümanlar,Rare
JANIS JOPLIN,HIPPI,ROCK,SES,27 KULÜBÜ,GITAR,Müzik İkonları & Tarzlar,Rare
JIM MORRISON,THE DOORS,27 KULÜBÜ,ROCK,ŞAIR,AMERIKA,Müzik İkonları & Tarzlar,Rare
KURT COBAIN,NIRVANA,GITAR,GRUNGE,27 KULÜBÜ,INTIHAR,Efsanevi Sanatçılar & Gruplar,Legendary
JIMI HENDRIX,GITAR,SOLO,27 KULÜBÜ,FESTIVAL,SOLAK,Müzik Evreni & Enstrümanlar,Rare
CHRIS CORNELL,AUDIOSLAVE,SOUNDGARDEN,SES,ROCK,INTIHAR,Müzik İkonları & Tarzlar,Rare
CHESTER BENNINGTON,LINKIN PARK,SES,ROCK,INTIHAR,DÖVME,Müzik İkonları & Tarzlar,Rare
FREDDIE MERCURY,QUEEN,BIYIK,SES,PIYANO,BOHEMIAN,Efsanevi Sanatçılar & Gruplar,Legendary
STING,THE POLICE,INGILTERE,BASS,GITAR,EVERY BREATH,Müzik Evreni & Enstrümanlar,Rare
PHIL COLLINS,GENESIS,DAVUL,KEL,INGILTERE,SES,Müzik Evreni & Enstrümanlar,Rare
PETER GABRIEL,GENESIS,INGILTERE,SES,YÖNETMEN,DANS,Müzik Evreni & Enstrümanlar,Rare
PAUL MCCARTNEY,BEATLES,INGILTERE,BASS,PIYANO,GITAR,Efsanevi Sanatçılar & Gruplar,Legendary
JOHN LENNON,BEATLES,INGILTERE,IMAGINE,GÖZLÜK,YOKO ONO,Efsanevi Sanatçılar & Gruplar,Legendary
GEORGE HARRISON,BEATLES,INGILTERE,GITAR,HINDISTAN,SOMETHING,Efsanevi Sanatçılar & Gruplar,Legendary
RINGO STARR,BEATLES,INGILTERE,DAVUL,GÖZLÜK,SAÇ,Efsanevi Sanatçılar & Gruplar,Legendary
OZZY OSBOURNE,BLACK SABBATH,YARASA,METAL,SAÇ,INGILTERE,Müzik İkonları & Tarzlar,Rare
DIO,BLACK SABBATH,METAL ELI,SES,ROCK,AMERIKA,Müzik İkonları & Tarzlar,Rare
ROB HALFORD,JUDAS PRIEST,METAL,MOTOR,DERI CEKET,INGILTERE,Müzik İkonları & Tarzlar,Rare
BRUCE DICKINSON,IRON MAIDEN,PILOT,SES,METAL,INGILTERE,Müzik İkonları & Tarzlar,Epic
AXL ROSE,GUNS N ROSES,SES,DANS,SAÇ bandı,ROCK,Müzik İkonları & Tarzlar,Epic
SLASH,GUNS N ROSES,ŞAPKA,GITAR,SAÇ,SOLO,Müzik Evreni & Enstrümanlar,Epic
ANGUS YOUNG,ACDC,OKUL ÜNIFORMASI,GITAR,SOLO,AVUSTRALYA,Müzik Evreni & Enstrümanlar,Rare
STEVEN TYLER,AEROSMITH,AĞIZ,SES,DANS,AMERIKA,Müzik Evreni & Enstrümanlar,Rare
BEETHOVEN,SENFONI,PIYANO,SAĞIR,BESTECI,KLASIK MÜZIK,Müzik Evreni & Enstrümanlar,Rare
MOZART,AMADEUS,SENFONI,DAHI,BESTECI,AVUSTURYA,Müzik Evreni & Enstrümanlar,Rare
BACH,BESTECI,ALMANYA,ORG,KLASIK MÜZIK,BAROK,Müzik Evreni & Enstrümanlar,Rare
CHOPIN,PIYANO,BESTECI,POLONYA,ROMANTIK,NOKTÜRN,Müzik Evreni & Enstrümanlar,Rare
TCHAIKOVSKY,BESTECI,RUSYA,KUTSAL BALELER,KUĞU GÖLÜ,FINDIKKIRAN,Müzik Evreni & Enstrümanlar,Rare
VIVALDI,DÖRT MEVSIM,KEMAN,ITALYA,BESTECI,BAROK,Müzik Evreni & Enstrümanlar,Rare
WAGNER,BESTECI,ALMANYA,OPERA,ROMANTIK,VALKÜR,Müzik Evreni & Enstrümanlar,Rare
SCHUBERT,BESTECI,AVUSTURYA,ROMANTIK,SENFONI,AVEMARIA,Müzik Evreni & Enstrümanlar,Rare
LISTZ,PIYANO,BESTECI,MACARISTAN,SOLO,SAÇ,Müzik Evreni & Enstrümanlar,Rare
VERDI,OPERA,AIDA,ITALYA,BESTECI,KORO,Müzik Evreni & Enstrümanlar,Rare
PUCCINI,OPERA,TURANDOT,MADAME BUTTERFLY,ITALYA,BESTECI,Müzik Evreni & Enstrümanlar,Rare
ROSSINI,SEVIL BERBERI,OPERA,ITALYA,BESTECI,YEMEK,Müzik Evreni & Enstrümanlar,Rare
BIZET,CARMEN,OPERA,FRANSA,BESTECI,ISPANYOL,Müzik Evreni & Enstrümanlar,Rare
HANDEL,BESTECI,ALMANYA,MESSIAH,HALLELUJAH,BAROK,Efsanevi Sanatçılar & Gruplar,Legendary
HAYDN,BESTECI,AVUSTURYA,SENFONI,KLASIK,BABA,Müzik Evreni & Enstrümanlar,Rare
BRAHMS,BESTECI,ALMANYA,NINNI,ROMANTIK,SENFONI,Müzik Evreni & Enstrümanlar,Rare
SCHUMANN,BESTECI,ALMANYA,PIYANO,ROMANTIK,DELILIK,Müzik Evreni & Enstrümanlar,Rare
DEBUSSY,BESTECI,FRANSA,EMPRESIONIZM,AY IŞIĞI,PIYANO,Müzik Evreni & Enstrümanlar,Rare
RAVEL,BOLERO,FRANSA,BESTECI,ORKESTRA,RITIM,Müzik Evreni & Enstrümanlar,Rare
STRAUSS,VALS,MAVI TUNA,AVUSTURYA,BESTECI,ORKESTRA,Müzik Evreni & Enstrümanlar,Rare
MAHLER,BESTECI,AVUSTURYA,SENFONI,DEV,DRAM,Müzik Evreni & Enstrümanlar,Rare
RACHMANINOFF,PIYANO,BESTECI,RUSYA,DEV ELLER,ROMANTIK,Müzik Evreni & Enstrümanlar,Rare
SHOSTAKOVICH,SENFONI,BESTECI,RUSYA,SOVYET,VALS,Müzik Evreni & Enstrümanlar,Rare
STRAVINSKY,BAHAR AYINI,RUSYA,BALE,MODERN,BESTECI,Müzik Evreni & Enstrümanlar,Rare
PROKOFIEV,ROmeo ve Juliet,RUSYA,PETER VE KURT,BESTECI,BALE,Müzik Evreni & Enstrümanlar,Rare
GERSHWIN,RAPSODY IN BLUE,AMERIKA,CAZ,BESTECI,PIYANO,Müzik İkonları & Tarzlar,Rare
SOUSA,MARŞ,AMERIKA,BANDO,BESTECI,TROMPE,Müzik Evreni & Enstrümanlar,Rare
PAGANINI,KEMAN,ITALYA,BESTECI,ŞEYTAN,SOLO,Müzik Evreni & Enstrümanlar,Rare
SARASATE,KEMAN,ISPANYOL,BESTECI,SOLO,ÇINGENE,Müzik Evreni & Enstrümanlar,Rare
ELGAR,BESTECI,INGILTERE,MARŞ,YAŞLI,MÜZIK,Müzik Evreni & Enstrümanlar,Rare
SIBELIUS,BESTECI,FINLANDIYA,SENFONI,MÜZIK,MILLI,Müzik Evreni & Enstrümanlar,Rare
GRIEG,BESTECI,NORVEÇ,PEER GYNT,ORKESTRA,PIYANO,Müzik Evreni & Enstrümanlar,Rare
COPLAND,BESTECI,AMERIKA,ORKESTRA,MÜZIK,MODERN,Müzik Evreni & Enstrümanlar,Rare
BERLIOZ,BESTECI,FRANSA,FANTASTIK SENFONI,ORKESTRA,ROMANTIK,Müzik Evreni & Enstrümanlar,Rare
MENDELSSOHN,BESTECI,ALMANYA,DÜĞÜN MARŞI,ROMANTIK,PIYANO,Müzik Evreni & Enstrümanlar,Rare
LISZT,BESTECI,MACARISTAN,PIYANO,SAÇ,SOLO,Müzik Evreni & Enstrümanlar,Rare
SAINT SAENS,BESTECI,FRANSA,HAYVANLAR KARNAVALI,ORKESTRA,ORGAN,Müzik Evreni & Enstrümanlar,Rare
FAURE,BESTECI,FRANSA,REQUIEM,PIYANO,ROMANTIK,Müzik Evreni & Enstrümanlar,Rare
RIMSKY KORSAKOV,BESTECI,RUSYA,ARININ UÇUŞU,ORKESTRA,MASAL,Müzik Evreni & Enstrümanlar,Rare
MUSSORGSKY,BESTECI,RUSYA,KARTALLAR SERGISI,ORKESTRA,PIYANO,Müzik Evreni & Enstrümanlar,Rare
BORODIN,BESTECI,RUSYA,PRENS IGOR,KORO,KIMYACI,Müzik Evreni & Enstrümanlar,Rare
GLINKA,BESTECI,RUSYA,RUSLAN VE LUDMILA,OPERA,BABA,Müzik Evreni & Enstrümanlar,Rare
SATI,BESTECI,FRANSA,GYMNOPEDIE,PIYANO,MODERN,Müzik Evreni & Enstrümanlar,Rare
BARTOK,BESTECI,MACARISTAN,HALK MÜZIĞI,MODERN,KEMAN,Müzik Evreni & Enstrümanlar,Rare
KODALY,BESTECI,MACARISTAN,HALK MÜZIĞI,YÖNTEM,KORO,Müzik Evreni & Enstrümanlar,Rare
JANACEK,BESTECI,ÇEK,OPERA,MÜZIK,MODERN,Müzik Evreni & Enstrümanlar,Rare
DVORAK,BESTECI,ÇEK,YENI DÜNYA SENFONISI,ORKESTRA,ROMANTIK,Müzik Evreni & Enstrümanlar,Rare
SMETANA,BESTECI,ÇEK,VLTAVA,SENFONI,SAĞIR,Müzik Evreni & Enstrümanlar,Rare
BRUCKNER,BESTECI,AVUSTURYA,SENFONI,ORGAN,DIN,Müzik Evreni & Enstrümanlar,Rare
MAHLER,BESTECI,AVUSTURYA,SENFONI,DRAM,DEV,Müzik Evreni & Enstrümanlar,Rare
TARKAN,POP,DANS,MEGASTAR,ŞIKIDIM,TÜRK,Efsanevi Sanatçılar & Gruplar,Legendary
SEZEN AKSU,POP,ŞARKI YAZARI,MİNİK SERÇE,TÜRK,SES,Efsanevi Sanatçılar & Gruplar,Legendary
BARIŞ MANÇO,TÜRK ROCK,SAÇ,YÜZÜK,7DEN 77YE,ARKADAŞIM EŞEK,Efsanevi Sanatçılar & Gruplar,Legendary
CEM KARACA,TÜRK ROCK,ANADOLU,ŞAPKA,GÖZLÜK,ISLAK ISLAK,Efsanevi Sanatçılar & Gruplar,Legendary
ERKIN KORAY,TÜRK ROCK,BABA,ANADOLU,ÇÖPÇÜLER,FULA FULA,Müzik İkonları & Tarzlar,Rare
AJDA PEKKAN,TÜRK,POP,DANS,YAŞLANMAYAN,SÜPERSTAR,Müzik İkonları & Tarzlar,Rare
ZEKI MÜREN,TÜRK SANAT MÜZIĞI,ELBİSE,SES,SANAT GÜNEŞİ,BODRUM,Türkçe Müzik Efsaneleri,Rare
MÜSLÜM GÜRSES,ARABESK,BABA,BIYIK,JILET,TÜRK,Türkçe Müzik Efsaneleri,Rare
IBRAHIM TATLISES,TÜRKÜ,BIYIK,MAVI MAVI,İMPARARATOR,HÜLYA AVŞAR,Türkçe Müzik Efsaneleri,Rare
ORHAN GENCEBAY,ARABESK,GITAR,BAĞLAMA,BIYIK,BATSIN BU DÜNYA,Türkçe Müzik Efsaneleri,Rare
MANGA,TÜRK ROCK,EUROVISION,ROBOT,WE COULD BE SAME,FERMAN,Müzik İkonları & Tarzlar,Epic
DUMAN,ROCK,TÜRK,KAAN,BENİ YAK KENDİNİ YAK,GITAR,Müzik İkonları & Tarzlar,Epic
MOR VE ÖTESI,ROCK,TÜRK,EUROVISION,HARUN TEKİN,CAMBAZ,Müzik İkonları & Tarzlar,Rare
ATHENA,TÜRK,ROCK,SKA,EUROVISION,FORZA,Müzik İkonları & Tarzlar,Epic
SERTAB ERENER,EUROVISION,EVERYWAY THAT I CAN,SES,POP,TÜRK,Müzik İkonları & Tarzlar,Rare
HADISE,POP,DANS,EUROVISION,DÜM TEK TEK,BELÇIKA,Müzik İkonları & Tarzlar,Rare
MURAT BOZ,POP,JÜRI,O SES,TÜRK,SAÇ,Müzik İkonları & Tarzlar,Rare
KENAN DOĞULU,POP,TÜRK,EUROVISION,SHAKE IT UP,BEREN SAAT,Müzik İkonları & Tarzlar,Rare
MUSTAFA SANDAL,POP,TÜRK,ARABA,AYA BENZER,DAĞLAR DAĞLAR,Müzik İkonları & Tarzlar,Rare
TEOMAN,ROCK,TÜRK,PAPATYA,MÜZIK,RAPSODİ İSTANBUL,Müzik İkonları & Tarzlar,Rare
ŞEBNEM FERAH,SES,ROCK,VOLKAN KONAK,MAYIN TARLASI,TÜRK,Müzik İkonları & Tarzlar,Rare
MFÖ,MAZHAR ALANSON,FUAT GÜNER,ÖZKAN UĞUR,GRUP,ELE GÜNE KARŞI,Müzik Evreni & Enstrümanlar,Rare
PENTAGRAM,METAL,TÜRK,SOLO,GITAR,MEZARKABUL,Müzik İkonları & Tarzlar,Rare
HALUK LEVENT,AHBAP,ROCK,TÜRK,DEPREM,GITAR,Müzik İkonları & Tarzlar,Rare
YALIN,AŞK,ELLERINE SAĞLIK,POP,TÜRK,ROMANTIK,Müzik İkonları & Tarzlar,Rare
GÖKHAN ÖZEN,POP,CİVCİV,TÜRK,CİVCİV,ARAMAZSAN ARAMA,Müzik İkonları & Tarzlar,Rare
SERDAR ORTAÇ,POP,TÜRK,GIYBET,KUMAR,KARABİBERİM,Müzik İkonları & Tarzlar,Rare
DEMET AKALIN,POP,TÜRK,ATARLI ŞARKILAR,İBRAHİM KUTLUAY,TWITTER,Müzik İkonları & Tarzlar,Rare
HANDE YENER,POP,DANS,SEZEN AKSU,MARJINAL,TÜRK,Efsanevi Sanatçılar & Gruplar,Legendary
GÜLŞEN,POP,ELBISE,YURTTA AŞK cihanda ask,DANS,TÜRK,Müzik İkonları & Tarzlar,Rare
SILA,SES,POP,TÜRK,ROMANTIK,ŞARKI YAZARI,Müzik İkonları & Tarzlar,Rare
MABEL MATIZ,MARJINAL,ANTIKUNTIN,TÜRK,POP,SES,Müzik İkonları & Tarzlar,Rare
EDIS,DANS,POP,GENÇ,TÜRK,MARTILAR,Müzik İkonları & Tarzlar,Rare
ZEYNEP BASTIK,TÜRK,POP,COVER,FELAKET,EV KONSERI,Müzik İkonları & Tarzlar,Rare
YÜZYÜZEYKEN KONUŞURUZ,KOLAYLAŞTIR,ROCK,INDIE,TÜRK,GRUP,Müzik İkonları & Tarzlar,Rare
DOLU KADEHI TERS TUT,INDIE,ROCK,TÜRK,GRUP,KAZAN,Müzik İkonları & Tarzlar,Rare
ADANALI,RAP,TÜRK,MÜZIK,CEZA,KÜLT,Efsanevi Sanatçılar & Gruplar,Legendary
CEZA,RAP,SAGOPA KAJMER,HIZLI,YERLI PLAKA,TÜRK,Efsanevi Sanatçılar & Gruplar,Legendary
SAGOPA KAJMER,RAP,CEZA,MELANKOLIK,PESIMIST,TÜRK,Efsanevi Sanatçılar & Gruplar,Legendary
EZHEL,RAP,ALMANYA,GECELER,DÖVME,ANKARA,Müzik İkonları & Tarzlar,Rare
ÇELIK,ATEŞTEYIM,POP,90LAR,TÜRK,MÜZIK,Müzik İkonları & Tarzlar,Rare
HAKAN PEKER,EFSANE,POP,DANS,90LAR,TÜRK,Müzik İkonları & Tarzlar,Rare
HARUN KOLÇAK,POP,90LAR,SES,TÜRK,GIR KANIMA,Müzik İkonları & Tarzlar,Rare
YONCA EVCIMIK,ABONEYIM,POP,90LAR,DANS,TÜRK,Müzik İkonları & Tarzlar,Rare
BURAK KUT,POP,90LAR,TARKAN,BEBETO,YAŞANDI BİTTİ,Efsanevi Sanatçılar & Gruplar,Legendary
