Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Kevin De Bruyne,Chelsea,Belçika,Asist,Orta Saha,Manchester City,Kulüpler & Mabedler,Epic
Zlatan Ibrahimovic,Ajax,Ego,Milan,PSG,İsveç,Kulüpler & Mabedler,Epic
Gianluigi Buffon,Parma,İtalya,Kaleci,Juventus,Efsane,Kulüpler & Mabedler,Epic
Iker Casillas,Porto,Kaptan,Kaleci,Real Madrid,Kaptan,Kulüpler & Mabedler,Epic
Manuel Neuer,Libero,Schalke,Kaleci,Libero,Bayern Münih,Kulüpler & Mabedler,Epic
Sergio Ramos,PSG,Sevilla,Stoper,Kırmızı Kart,Real Madrid,Kulüpler & Mabedler,Epic
Gerard Pique,Stoper,Manchester United,İspanyol,Barcelona,Shakira,Kulüpler & Mabedler,Epic
Carles Puyol,Kaptan,Stoper,Barcelona,İspanya,Saç,Kulüpler & Mabedler,Epic
Wayne Rooney,DC United,Forvet,Everton,Manchester United,Efsane,Kulüpler & Mabedler,Epic
Steven Gerrard,Orta Saha,Demba Ba,Ayak kayması,Efsane,Liverpool,Kulüpler & Mabedler,Epic
Frank Lampard,Everton,New York City,Orta Saha,Chelsea,Efsane,Kulüpler & Mabedler,Epic
Paul Scholes,Orta Saha,Manchester United,Turuncu Kafa,Pas,Efsane,Kulüpler & Mabedler,Epic
Ryan Giggs,Sol Kanat,Galler,Manchester United,Efsane,Hız,Kulüpler & Mabedler,Epic
Gareth Bale,Hız,Galler,Tottenham,Golf,Real Madrid,Kulüpler & Mabedler,Epic
Eden Hazard,Kanat,Real Madrid,Belçika,Chelsea,Çalım,Kulüpler & Mabedler,Epic
Luis Suarez,Forvet,Liverpool,Inter Miami,Uruguay,Barcelona,Kulüpler & Mabedler,Epic
Edinson Cavani,PSG,Manchester United,Napoli,Uruguay,Forvet,Kulüpler & Mabedler,Epic
Sergio Aguero,Barcelona,Arjantin,Atletico Madrid,Manchester City,Gol,Kulüpler & Mabedler,Epic
Didier Drogba,Marsilya,Shanghai Shenhua,Chelsea,Galatasaray,Fildişi,Kulüpler & Mabedler,Epic
Samuel Eto o,Inter,Forvet,Kamerun,Barcelona,Antalyaspor,Kulüpler & Mabedler,Epic
Andrea Pirlo,Frikik,Milan,Juventus,Milan,Orta Saha,Kulüpler & Mabedler,Epic
Francesco Totti,Efsane,Kaptan,Sadakat,Roma,10 Numara,Kulüpler & Mabedler,Epic
Alessandro Del Piero,Juventus,İtalya,Efsane,10 Numara,Forvet,Kulüpler & Mabedler,Epic
Javier Zanetti,Inter,Sağ Bek,Arjantin,Milli Takım,Efsane,Kulüpler & Mabedler,Epic
Philipp Lahm,Sağ Bek,Almanya,Kaptan,Bayern Münih,Efsane,Kulüpler & Mabedler,Epic
Bastian Schweinsteiger,Manchester United,Bayern Münih,Orta Saha,Alman,Dünya Kupası,Kupalar & Turnuvalar,Epic
Arjen Robben,Chelsea,Hollanda,Sol Ayak,Bayern Münih,Real Madrid,Kulüpler & Mabedler,Epic
Franck Ribery,Marsilya,Kanat,Galatasaray,Bayern Münih,Yara izi,Kulüpler & Mabedler,Epic
Romario,PSV,Barcelona,Forvet,Brezilya,Dünya Kupası,Kupalar & Turnuvalar,Epic
Rivaldo,Milan,Brezilya,Rövaşata,10 Numara,Barcelona,Kulüpler & Mabedler,Epic
Fatih Terim,Teknik Direktör,İtalya,Milan,Fiorentina,Galatasaray,Kulüpler & Mabedler,Epic
Sergen Yalçın,Frikik,Denizli,Balotelli,At Yarışı,Şekerspor,Yeşil Saha Efsaneleri,Rare
George Hagi,Galatasaray,Romanya,10 Numara,Sol Ayak,Karpatların Maradonası,Kulüpler & Mabedler,Epic
Alex de Souza,Fenerbahçe,Brezilya,10 Numara,Heykel,Kaptan,Kulüpler & Mabedler,Epic
Şenol Güneş,Trabzonspor,Milli Takım,Dünya Üçüncüsü,Kaleci,Beşiktaş,Kulüpler & Mabedler,Epic
Mustafa Denizli,Galatasaray,Beşiktaş,Fenerbahçe,Şampiyon,Teknik Direktör,Kulüpler & Mabedler,Epic
Arda Turan,Atletico Madrid,Barcelona,Bayrampaşa,Kaptan,Galatasaray,Kulüpler & Mabedler,Epic
Burak Yılmaz,Lille,Fortuna Sittard,Kral,Trabzonspor,Galatasaray,Kulüpler & Mabedler,Epic
Emre Belözoğlu,Newcastle,Inter,Fenerbahçe,Galatasaray,Orta Saha,Kulüpler & Mabedler,Epic
Volkan Demirel,Fenerbahçe,Kaleci,Ayı,Kaptan,Milli Takım,Kulüpler & Mabedler,Epic
Rüştü Reçber,Barcelona,Beşiktaş,Fenerbahçe,Kaleci,Göz Boyası,Kulüpler & Mabedler,Epic
Tuncay Şanlı,Middlesbrough,Stoke City,Fenerbahçe,Milli Takım,Sakarya,Kulüpler & Mabedler,Epic
Nihat Kahveci,Çek Cumhuriyeti,Villarreal,Real Sociedad,Forvet,Beşiktaş,Kulüpler & Mabedler,Epic
İlhan Mansız,Senegal,Vissel Kobe,Beşiktaş,Altın Gol,Forvet,Yeşil Saha Efsaneleri,Rare
Tugay Kerimoğlu,Blackburn,İngiltere,Orta Saha,Galatasaray,Uzaktan Şut,Kulüpler & Mabedler,Epic
Okan Buruk,Galatasaray,Inter,Teknik Direktör,Şampiyon,Orta Saha,Kulüpler & Mabedler,Epic
Hasan Şaş,Brezilya,Dünya Kupası,Kel,Yıldıray,Türkiye,Kupalar & Turnuvalar,Epic
Yıldıray Baştürk,Dünya Kupası,Milli Takım,Orta Saha,Leverkusen,Brezilya,Kupalar & Turnuvalar,Epic
Gökhan Gönül,Hacettepe,Beşiktaş,Sağ Bek,Fenerbahçe,Milli Takım,Kulüpler & Mabedler,Epic
Caner Erkin,Eyüpspor,Fenerbahçe,Sol Bek,Asist,Beşiktaş,Kulüpler & Mabedler,Epic
Selçuk İnan,İzlanda,Trabzonspor,Frikik,Galatasaray,8 Numara,Kulüpler & Mabedler,Epic
Felipe Melo,Brezilya,Galatasaray,Juventus,Pitbull,Orta Saha,Kulüpler & Mabedler,Epic
Fernando Muslera,Galatasaray,Kaptan,Uruguay,Kaleci,Nando,Kulüpler & Mabedler,Epic
Atiba Hutchinson,Kanada,Beşiktaş,Ahtapot,Ön Libero,Heykel,Yeşil Saha Efsaneleri,Rare
Ricardo Quaresma,Porto,Portekiz,Rabona,Trivela,Beşiktaş,Kulüpler & Mabedler,Epic
Pascal Nouma,Beşiktaş,Forvet,Tombala,Fransa,Hırçın,Futbol Terimleri & Taktikler,Common
Anderson Talisca,Benfica,Brezilya,Frikik,Kafa,Beşiktaş,Kulüpler & Mabedler,Epic
Wesley Sneijder,Hollanda,Uzaktan Şut,Hollanda,10 Numara,Inter,Kulüpler & Mabedler,Epic
Robin Van Persie,PSV,Arsenal,Oğuzhan Özyakup,Uçan Hollandalı,Fenerbahçe,Kulüpler & Mabedler,Epic
Dirk Kuyt,Liverpool,Feyonoord,Fenerbahçe,Hollanda,Forvet,Kulüpler & Mabedler,Epic
Diego Lugano,Hırçın,Uruguay,Stoper,Fenerbahçe,Milli,Kulüpler & Mabedler,Epic
Mario Gomez,Forvet,Almanya,Beşiktaş,Eyşan,Bayern Münih,Kulüpler & Mabedler,Epic
Vincent Aboubakar,Porto,Kamerun,Forvet,Beşiktaş,Gol,Kulüpler & Mabedler,Epic
Mauro Icardi,PSG,Arjantin,Inter,Galatasaray,Wanda Nara,Kulüpler & Mabedler,Epic
Edin Dzeko,Manchester City,Roma,Fenerbahçe,Bosna,Forvet,Kulüpler & Mabedler,Epic
Dusan Tadic,Ajax,Sırbistan,Kalça,Fenerbahçe,Asist,Kulüpler & Mabedler,Epic
Szymanski,Fenerbahçe,Polonya,Orta Saha,Şut,Sol Ayak,Kulüpler & Mabedler,Epic
Dries Mertens,Gülümseme,Belçika,Napoli,Forvet Arkası,Galatasaray,Kulüpler & Mabedler,Epic
Lucas Torreira,Arsenal,Uruguay,Atom Karınca,Orta Saha,Galatasaray,Kulüpler & Mabedler,Epic
Gedson Fernandes,Spartak Moskova,Portekiz,Galatasaray,Benfica,Beşiktaş,Kulüpler & Mabedler,Epic
Pep Guardiola,Manchester City,Bayern Münih,Barcelona,Kel,Tiki Taka,Kulüpler & Mabedler,Epic
Jose Mourinho,Porto,Chelsea,Inter,Real Madrid,Special One,Kulüpler & Mabedler,Epic
Jurgen Klopp,Liverpool,Dortmund,Gegenpressing,Alman,Gözlük,Kulüpler & Mabedler,Epic
Carlo Ancelotti,Milan,Sakız,Real Madrid,Şampiyonlar Ligi,İtalyan,Kulüpler & Mabedler,Epic
Diego Simeone,Atletico Madrid,Arjantin,Defans,Teknik Direktör,Park the bus,Kulüpler & Mabedler,Epic
Arsene Wenger,Arsenal,Fransız,Namağlup,Profesör,Ceket,Kulüpler & Mabedler,Epic
Sir Alex Ferguson,Manchester United,İskoç,Efsane,Sakız,Kırmızı,Kulüpler & Mabedler,Epic
Mikel Arteta,Arsenal,İspanyol,Guardiola,Orta Saha,Teknik Direktör,Kulüpler & Mabedler,Epic
Xabi Alonso,İspanyol,Liverpool,Bayer Leverkusen,Namağlup,İspanyol,Kulüpler & Mabedler,Epic
Thomas Tuchel,Bayern Münih,Chelsea,PSG,Alman,Şampiyonlar Ligi,Kulüpler & Mabedler,Epic
Antonio Conte,Napoli,Tottenham,Juventus,Chelsea,Agresif,Kulüpler & Mabedler,Epic
Allegri,Taktik,Cagliari,İtalyan,Milan,Juventus,Kulüpler & Mabedler,Epic
Camp Nou,Barcelona,Tribün,İç saha,Katalonya,Stadyum,Kulüpler & Mabedler,Epic
Santiago Bernabeu,Tribün,Başkent,Stadyum,Başkent,Real Madrid,Kulüpler & Mabedler,Epic
Old Trafford,Manchester United,Yenilmezlik Serisi,Düşler Tiyatrosu,Stadyum,Kırmızı,Kulüpler & Mabedler,Epic
Anfield Road,Kop,Tribün,You ll Never Walk Alone,Liverpool,Stadyum,Kulüpler & Mabedler,Epic
San Siro,Atmosfer,Tribün,Ortak Kullanım,İnter / Milan,Giuseppe Meazza,Kulüpler & Mabedler,Epic
Allianz Arena,Tribün,Taraftar,Stadyum,Münih,Almanya,Kulüpler & Mabedler,Epic
Signal Iduna Park,Dortmund,Almanya,Sarı Duvar,Stadyum,Taraftar,Kulüpler & Mabedler,Epic
Wembley,İngiltere,Londra,Milli Takım,Stadyum,Final,Kulüpler & Mabedler,Epic
Maracana,Brezilya,Rio,Dünya Kupası,Stadyum,Efsane,Kupalar & Turnuvalar,Epic
Bombaonera,Boca Juniors,Arjantin,Stadyum,Buenos Aires,Taraftar,Kulüpler & Mabedler,Epic
Şükrü Saracoğlu,Fenerbahçe,Kadıköy,Stadyum,İstanbul,Atatürk,Kulüpler & Mabedler,Epic
Rams Park,Galatasaray,Seyrantepe,Ali Sami Yen,Stadyum,Aslantepe,Kulüpler & Mabedler,Epic
Tüpraş Stadyumu,Beşiktaş,Dolmabahçe,Vodafone Park,İnönü,Boğaz,Kulüpler & Mabedler,Epic
Papara Park,Trabzonspor,Akyazı,Stadyum,Şenol Güneş,Fırtına,Kulüpler & Mabedler,Epic
Ofsayt,Bayrak,Çizgi,VAR,Hakem,İleride,Futbol Terimleri & Taktikler,Common
Penaltı,Ceza Sahası,Beyaz Nokta,11 Metre,Faul,Kaleci,Futbol Terimleri & Taktikler,Common
Kırmızı Kart,Hakem,Oyundan Atılmak,Faul,Cezalı,Sarı Kart,Futbol Terimleri & Taktikler,Common
Sarı Kart,Hakem,Uyarı,Kırmızı,Faul,İtiraz,Futbol Terimleri & Taktikler,Common
Frikik,Baraj,Serbest Vuruş,Faul,Mesafe,Şut,Futbol Terimleri & Taktikler,Common
Korner,Köşe Vuruşu,Bayrak,Kafa,Ceza Sahası,Çizgi,Futbol Terimleri & Taktikler,Common
Taç Vuruşu,Çizgi,El,Kenar,Oyun,Aut,Futbol Terimleri & Taktikler,Common
Aut,Kaleci,Çizgi,Vuruş,Dışarı,Kale,Futbol Terimleri & Taktikler,Common
Rövaşata,Havada,Ters,Makas,Gol,Vuruş,Futbol Terimleri & Taktikler,Common
Vole,Havadan,Gelişine,Şut,Gol,Yere Düşmeden,Futbol Terimleri & Taktikler,Common
Çalım,Bacak Arası,Geçmek,Yetenek,Bilek,Adam Eksiltmek,Futbol Terimleri & Taktikler,Common
Hat trick,Üç,Gol,Maç,Top,Forvet,Futbol Terimleri & Taktikler,Common
Asist,Pas,Gol,Yarım Gol,Orta,Oyun Kurucu,Futbol Terimleri & Taktikler,Common
Teknik Direktör,Taktik,Hoca,Yedek Kulübesi,Değişiklik,Patron,Futbol Terimleri & Taktikler,Common
Hakem,Düdük,Kart,VAR,Faul,Penaltı,Futbol Terimleri & Taktikler,Common
VAR,Ekran,İtiraz,İzlemek,Monitör,Çizgi,Futbol Terimleri & Taktikler,Common
Derbi,Aynı Şehir,Rekabet,Olay,Taraftar,Büyük Maç,Futbol Terimleri & Taktikler,Common
Transfer,Spekülasyon,Menajer,Futbolcu,Sözleşme,Bonservis,Yeşil Saha Efsaneleri,Rare
Kaptan,Pazubent,Lider,Takım,Hakem,Tecrübeli,Futbol Terimleri & Taktikler,Common
Jude Bellingham,Real Madrid,İngiltere,Orta Saha,Dortmund,Hey Jude,Kulüpler & Mabedler,Epic
Antoine Griezmann,Atletico Madrid,Sol Ayak,Forvet Arkası,Barcelona,Fransa,Kulüpler & Mabedler,Epic
Mohamed Salah,Roma,Kanat,Liverpool,Sol Ayak,Mısır,Kulüpler & Mabedler,Epic
Heung min Son,Kane,Tottenham,Forvet,Güney Kore,Kanat,Kulüpler & Mabedler,Epic
Kvaratskhelia,Napoli,Gürcistan,Kanat,Kvaradona,Çalım,Kulüpler & Mabedler,Epic
Victor Osimhen,Napoli,Nijerya,Forvet,Maske,Gol,Kulüpler & Mabedler,Epic
Harry Kane,Bayern Münih,İngiltere,Tottenham,Forvet,Golcü,Kulüpler & Mabedler,Epic
Florian Wirtz,Bayer Leverkusen,Almanya,Orta Saha,Asist,Şampiyon,Futbol Terimleri & Taktikler,Common
Ousmane Dembele,PSG,Fransa,Barcelona,Kanat,İki Ayak,Kulüpler & Mabedler,Epic
Alisson Becker,Kafa Golü,Brezilya,Liverpool,Kaleci,Eldiven,Kulüpler & Mabedler,Epic
Arda Güler,Genç,Sol Ayak,Fenerbahçe,Real Madrid,Orta Saha,Kulüpler & Mabedler,Epic
Cengiz Ünder,Marsilya,Kanat,Roma,Sol Ayak,Fenerbahçe,Kulüpler & Mabedler,Epic
Ferdi Kadıoğlu,Brighton,Sol Bek,Joker,Fenerbahçe,Çalım,Kulüpler & Mabedler,Epic
Semih Kılıçsoy,Cagliari,Genç,Forvet,Beşiktaş,Altyapı,Yeşil Saha Efsaneleri,Rare
Barış Alper Yılmaz,Fizik,Hız,Kanat,Keçiörengücü,Galatasaray,Kulüpler & Mabedler,Epic
Kerem Aktürkoğlu,Erzincanspor,Fenerbahçe,Kanat,Galatasaray,Hız,Kulüpler & Mabedler,Epic
Çağlar Söyüncü,Fenerbahçe,Leicester City,Stoper,Milli Takım,Atletico Madrid,Kulüpler & Mabedler,Epic
Merih Demiral,Atalanta,Juventus,Stoper,Bozkurt,Al-Ahli,Kulüpler & Mabedler,Epic
Enes Ünal,Getafe,Bournemouth,Forvet,Bursaspor,Milli Takım,Kulüpler & Mabedler,Epic
İsmail Yüksek,Bursa,Ön Libero,Mücadele,Milli Takım,Fenerbahçe,Kulüpler & Mabedler,Epic
Orkun Kökçü,Benfica,Beşiktaş,Orta Saha,Feyenoord,Kaptan,Kulüpler & Mabedler,Epic
Salih Özcan,Dortmund,Milli Takım,Ön Libero,Almanya,Beşiktaş,Kulüpler & Mabedler,Epic
Uğurcan Çakır,Galatasaray,Trabzonspor,Kaptan,Kaleci,Milli Takım,Kulüpler & Mabedler,Epic
Mert Günok,Beşiktaş,Ahtapot,Başakşehir,Fenerbahçe,Kaleci,Kulüpler & Mabedler,Epic
Volkan Babacan,Başakşehir,Avrupa Şampiyonası,Milli Takım,Fenerbahçe,Kaleci,Kulüpler & Mabedler,Epic
Oğuzhan Özyakup,Arsenal,Maestro,Feda,150 M Euro,Beşiktaş,Kulüpler & Mabedler,Epic
Cenk Tosun,Gaziantepspor,Crystal Palace,Fenerbahçe,Beşiktaş,Tosun Paşa,Kulüpler & Mabedler,Epic
Yusuf Yazıcı,Lille,Olimpiakos,CSKA,Trabzonspor,Orta Saha,Kulüpler & Mabedler,Epic
Abdülkadir Ömür,Altyapı,Trabzonspor,Sol Ayak,Hull City,Orta Saha,Kulüpler & Mabedler,Epic
Edin Visca,Bosna,Başakşehir,Kanat,Asist,Trabzonspor,Kulüpler & Mabedler,Epic
Anthony Nwakaeme,Nijerya,Çalım,Kanat,Trabzonspor,Şampiyon,Kulüpler & Mabedler,Epic
Alexander Sörloth,Norveç,Villarreal,Trabzonspor,Kuzeyin Kralı,Gol Kralı,Kulüpler & Mabedler,Epic
Gheorghe Popescu,Romanya,Stoper,Galatasaray,Kaptan,Penaltı,Kulüpler & Mabedler,Epic
Claudio Taffarel,Dünya Kupası,Efsane,Kaleci,Brezilya,Galatasaray,Kupalar & Turnuvalar,Epic
Sabri Sarıoğlu,Altyapı,Sağ Bek,Reis,Şut,Galatasaray,Kulüpler & Mabedler,Epic
Semih Şentürk,Hırvatistan,Milli Takım,Yedek,Nöbetçi Golcü,Fenerbahçe,Kulüpler & Mabedler,Epic
Tümer Metin,Sergen Yalçın,Yorumcu,Sol Ayak,Fenerbahçe,Beşiktaş,Kulüpler & Mabedler,Epic
Pierre van Hooijdonk,Frikik,Feyonoord,Fenerbahçe,Forvet,Efsane,Kulüpler & Mabedler,Epic
Moussa Sow,Senegal,Rövaşata,Fenerbahçe,Senegal,Gözyaşı,Kulüpler & Mabedler,Epic
Bafetimbi Gomis,Panter,Gol Sevinci,Fransa,O sen olsan bari,Gol Sevinci,Yeşil Saha Efsaneleri,Rare
Felipe Melo,Juventus,Brezilya,Pitbull,Galatasaray,Kırmızı Kart,Kulüpler & Mabedler,Epic
Johan Elmander,İsveç,Mücadele,Sarı Kafa,Forvet,Galatasaray,Kulüpler & Mabedler,Epic
Da Silva Bobo,Golcü,Nobre,Beşiktaş,Kafa Golü,Efsane,Yeşil Saha Efsaneleri,Rare
Serdar Aziz,Sakatlık,Bursaspor,Fenerbahçe,Stoper,Galatasaray,Kulüpler & Mabedler,Epic
Franz Beckenbauer,Libero,Kaiser,Bayern Münih,Kaiser,Efsane,Kulüpler & Mabedler,Epic
Gerd Müller,Forvet,Bombacı,Alman,Bayern Münih,Golcü,Kulüpler & Mabedler,Epic
Eusebio,Kara Panter,Benfica,Portekiz,Forvet,Efsane,Kulüpler & Mabedler,Epic
Alfredo Di Stefano,Real Madrid,İspanya,Arjantin,Efsane,Şampiyon Kulüpler,Kulüpler & Mabedler,Epic
Ferenc Puskas,Macaristan,Real Madrid,Sol Ayak,Forvet,Ödül,Kulüpler & Mabedler,Epic
George Best,7 Numara,Kuzey İrlanda,Çalım,Manchester United,Efsane,Kulüpler & Mabedler,Epic
Bobby Charlton,Dünya Kupası,İngiltere,Manchester United,Efsane,Orta Saha,Kupalar & Turnuvalar,Epic
Lev Yashin,Ballon dOr,Sovyetler,Kara Örümcek,Kaleci,Dinamo Moskova,Kupalar & Turnuvalar,Epic
Roberto Baggio,Penaltı,Juventus,İl Divin Codino,İtalya,At Kuyruğu,Kulüpler & Mabedler,Epic
Franco Baresi,Milan,İtalya,Stoper,Kaptan,Efsane,Kulüpler & Mabedler,Epic
Marco van Basten,Vole,Milan,Forvet,Hollanda,Efsane,Kulüpler & Mabedler,Epic
Ruud Gullit,Milan,PSV,Feyenoord,Hollanda,Rasta,Kulüpler & Mabedler,Epic
Frank Rijkaard,Galatasaray,Hollanda,Milan,Orta Saha,Tükürük,Kulüpler & Mabedler,Epic
Lothar Matthäus,Bayern Münih,Almanya,Inter,Orta Saha,Dünya Kupası,Kupalar & Turnuvalar,Epic
Oliver Kahn,Bayern Münih,Almanya,Kaleci,Agresif,Titan,Kulüpler & Mabedler,Epic
Peter Schmeichel,Manchester United,Danimarka,Kaleci,Efsane,Kurtarış,Kulüpler & Mabedler,Epic
Eric Cantona,Manchester United,Fransa,Yakalar,Kung-fu,Kral,Kulüpler & Mabedler,Epic
Dennis Bergkamp,Arsenal,Hollanda,Uçak Korkusu,Forvet,Çalım,Kulüpler & Mabedler,Epic
Pavel Nedved,Juventus,Çekya,Orta Saha,Saç,Ballon dOr,Kupalar & Turnuvalar,Epic
Clarence Seedorf,Milan,Real Madrid,Hollanda,Şampiyonlar Ligi,Kaslı,Kulüpler & Mabedler,Epic
Luis Figo,Real Madrid,Barcelona,Portekiz,Domuz Kafası,Kanat,Kulüpler & Mabedler,Epic
Rui Costa,Milan,Fiorentina,Portekiz,10 Numara,Pas,Kulüpler & Mabedler,Epic
Michael Owen,Liverpool,İngiltere,Real Madrid,Forvet,Hız,Kulüpler & Mabedler,Epic
Alan Shearer,Newcastle,İngiltere,Forvet,Gol Rekoru,El Kaldırma,Kulüpler & Mabedler,Epic
Raul,Real Madrid,İspanya,Forvet,Kaptan,Schalke,Kulüpler & Mabedler,Epic
David Beckham,Manchester United,Real Madrid,İngiltere,Frikik,Yakışıklı,Kulüpler & Mabedler,Epic
İsmail Kartal,Fenerbahçe,Arap İsmail,Teknik Direktör,Şampiyon,Hoca,Kulüpler & Mabedler,Epic
Abdullah Avcı,Beşiktaş,Başakşehir,Trabzonspor,Kasket,Teknik Direktör,Kulüpler & Mabedler,Epic
Ersun Yanal,Denizlispor,Gençlerbirliği,Fenerbahçe,Trabzonspor,Teknik Direktör,Kulüpler & Mabedler,Epic
Aykut Kocaman,Konyaspor,Forvet,Fenerbahçe,Sistem,Teknik Direktör,Kulüpler & Mabedler,Epic
Vincenzo Montella,Milli Takım,Roma,İtalyan,Adana Demirspor,Teknik Direktör,Kulüpler & Mabedler,Epic
Sergıo Conceiçao,Porto,Portekiz,Teknik Direktör,Agresif,Kanat,Kulüpler & Mabedler,Epic
Luis Enrique,PSG,Barcelona,İspanyol,Teknik Direktör,Tiki Taka,Kulüpler & Mabedler,Epic
Gareth Southgate,İngiltere,Yelek,Penaltı,Milli Takım,Teknik Direktör,Futbol Terimleri & Taktikler,Common
Roberto Mancini,Manchester City,İtalyan,Galatasaray,Atkı,Teknik Direktör,Kulüpler & Mabedler,Epic
Jorge Jesus,Flamengo,Benfica,Fenerbahçe,Portekizli,Ofsayt Taktikleri,Kulüpler & Mabedler,Epic
Santra,Başlama Vuruşu,Orta Saha,Düdük,Maçbaşı,Top,Futbol Terimleri & Taktikler,Common
Degaj,Kaleci,Vuruş,Uzaklaştırmak,Havadan,Kale Vuruşu,Futbol Terimleri & Taktikler,Common
Plase,İçiyle,Köşe,Yavaş,Kıvrımlı,Şut,Futbol Terimleri & Taktikler,Common
Aşırtma,Kaleci,Üstünden,Aşırtmak,Şut,Yumuşak,Futbol Terimleri & Taktikler,Common
Trivela,Dışıyla,Quaresma,Orta,Şut,Vuruş,Futbol Terimleri & Taktikler,Common
Rabona,Çapraz,Bacak,Vuruş,Quaresma,Orta,Futbol Terimleri & Taktikler,Common
Topuk Pası,Geriye,Topuk,Estetik,Guti,Vuruş,Futbol Terimleri & Taktikler,Common
Beşlik,Çalım,Geçmek,Bacak,Utanç,Hücum,Futbol Terimleri & Taktikler,Common
Makas,Rövaşata,Havada,Vuruş,Çapraz,Şut,Futbol Terimleri & Taktikler,Common
Markaj,Savunma,Adam Adama,Takip Etmek,Defans,Boş Bırakmamak,Futbol Terimleri & Taktikler,Common
Pres,Önde,Hücum,Kaptırmak,Topu Almak,Koşmak,Futbol Terimleri & Taktikler,Common
Kontra Atak,Hızlı,Hücum,Savunma,Yakalamak,Boşluk,Yeşil Saha Efsaneleri,Rare
Deplasman,Misafir,Rakip Saha,Yolculuk,Taraftar,Ev Sahibi,Futbol Terimleri & Taktikler,Common
Ev Sahibi,Kendi Sahası,Taraftar,Deplasman,Avantaj,İç Saha,Futbol Terimleri & Taktikler,Common
Averaj,Gol Farkı,Puan,Sıralama,Eşitlik,Lig,Futbol Terimleri & Taktikler,Common
Küme Düşmek,Alt Lig,Son Sıra,Puan,Başarısızlık,Lig,Yeşil Saha Efsaneleri,Rare
Şampiyon,Kupa,Birinci,Madalya,Kutlama,Lig,Kupalar & Turnuvalar,Epic
Clean Sheet,Gol Yememek,Kaleci,Defans,Sıfır,Maç,Futbol Terimleri & Taktikler,Common
Dünya Kupası,Messi,Katar,Brezilya,Arjantin,Turnuva,Kupalar & Turnuvalar,Epic
Şampiyonlar Ligi,Real Madrid,Avrupa,Kupa,UEFA,Final,Kupalar & Turnuvalar,Epic
Avrupa Şampiyonası,Euro,Milli Takım,Turnuva,UEFA,Kupa,Kupalar & Turnuvalar,Epic
Süper Lig,Türkiye,Şampiyon,Küme Düşmek,Fenerbahçe,Galatasaray,Kulüpler & Mabedler,Epic
Premier Lig,İngiltere,Ada,Şampiyon,Manchester,Arsenal,Kulüpler & Mabedler,Epic
La Liga,İspanya,Real Madrid,Barcelona,El Clasico,Şampiyon,Kupalar & Turnuvalar,Epic
Serie A,İtalya,Juventus,Milan,Inter,Çizme,Kupalar & Turnuvalar,Epic
