Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5,Alt Kategori (Set),Nadirlik (Rarity)
GONE GIRL,KAYIP,EŞ,BEN AFFLECK,GIZEM,FINCHER,Sinema Dünyası & Terimler,Rare
PANIC ROOM,ODA,KASA,HIRSIZ,JODIE FOSTER,SIĞINAK,Sinema Dünyası & Terimler,Rare
THE GAME,OYUN,MICHAEL DOUGLAS,GIZEM,FINCHER,HEDIYE,Sinema Dünyası & Terimler,Rare
SEVEN,GÜNAH,DEDEKTIF,BRAD PITT,KATIL,FINCHER,Hollywood Efsaneleri,Legendary
ALIEN 3,YARATIK,HAPISHANE,SIGOURNEY WEAVER,UZAY,FINCHER,Sinema Dünyası & Terimler,Rare
THE CURIOUS CASE,BENJAMIN BUTTON,YAŞLANMAK,BRAD PITT,TERSE,FINCHER,Hollywood Efsaneleri,Legendary
PULP FICTION,TARANTINO,TRAVOLTA,DANS,UMA THURMAN,ÇANTA,Hollywood Efsaneleri,Legendary
RESERVOIR DOGS,SOYGUN,ELMAS,TARANTINO,DEPO,RENKLER,Hollywood Efsaneleri,Legendary
KILL BILL,SARU ELBISE,SAMURAY,UMA THURMAN,INTIKAM,GELIN,Sinema Dünyası & Terimler,Rare
INGLOURIOUS BASTERDS,SAVAŞ,NAZI,BRAD PITT,TARANTINO,ALMANYA,Hollywood Efsaneleri,Legendary
DJANGO UNCHAINED,KÖLE,ZENCIRSIZ,DICAPRIO,TARANTINO,SILAH,Hollywood Efsaneleri,Legendary
ONCE UPON A TIME,HOLLYWOOD,BRAD PITT,DICAPRIO,TARANTINO,AKTÖR,Hollywood Efsaneleri,Legendary
THE HATEFUL EIGHT,KAR,POSTA ARABASI,KULÜBE,TARANTINO,SILAH,Hollywood Efsaneleri,Legendary
DEATH PROOF,ARABA,DUBLÖR,TARANTINO,KAZA,KURT RUSSELL,Hollywood Efsaneleri,Legendary
JACKIE BROWN,UÇAK,PARA,TARANTINO,PAM GRIER,KURYELER,Hollywood Efsaneleri,Legendary
REAR WINDOW,PENCERE,ALFRED HITCHCOCK,DÜRBIN,KOMŞU,KATIL,Hollywood Efsaneleri,Legendary
VERTIGO,YÜKSEKLIK,KORKU,HITCHCOCK,KÖPRÜ,SAN FRANSISCO,Hollywood Efsaneleri,Legendary
NORTH BY NORTHWEST,UÇAK,TARLA,CARY GRANT,HITCHCOCK,HILAL,Hollywood Efsaneleri,Legendary
THE BIRDS,KUŞLAR,SALDIRI,HITCHCOCK,KASABA,KORKU,Hollywood Efsaneleri,Legendary
ROPE,IP,DAIRE,SANDIK,CINAYET,HITCHCOCK,Hollywood Efsaneleri,Legendary
DIAL M FOR MURDER,TELEFON,CINAYET,HITCHCOCK,ANAHTAR,EŞ,Hollywood Efsaneleri,Legendary
THE TERMINATOR,ROBOT,ARNOLD,GELECEK,SARAH CONNOR,JAMES CAMERON,Sinema Dünyası & Terimler,Rare
ALIENS,YARATIK,SIGOURNEY WEAVER,JAMES CAMERON,ASKER,GEÇIT,Sinema Dünyası & Terimler,Rare
THE ABYSS,DENIZALTI,OKYANUS,JAMES CAMERON,UZAYLI,DERIN,Sinema Dünyası & Terimler,Rare
TITANIC,JACK,ROSE,GEMI,JAMES CAMERON,BUZDAĞI,Hollywood Efsaneleri,Legendary
AVATAR,PANDORA,JAMES CAMERON,MAVI,AĞAÇ,OKYANUS,Sinema Dünyası & Terimler,Rare
SCHINDLER'S LIST,NAZI,ALMANYA,SPIELBERG,SAVAŞ,KUTSAL,Hollywood Efsaneleri,Legendary
SAVING PRIVATE RYAN,NORMANDIYA,TOM HANKS,SPIELBERG,ASKER,SAVAŞ,Hollywood Efsaneleri,Legendary
JAWS,KÖPEKBALIĞI,OKYANUS,SPIELBERG,PLAJ,DIŞ,Hollywood Efsaneleri,Legendary
E.T.,UZAYLI,BISIKLET,PARMAK,SPIELBERG,ÇOCUK,Hollywood Efsaneleri,Legendary
JURASSIC PARK,DINOZOR,ADA,SPIELBERG,PARK,DNA,Hollywood Efsaneleri,Legendary
INDIANA JONES,KAMÇI,ŞAPKA,HARRISON FORD,SPIELBERG,ARKEOLOG,Hollywood Efsaneleri,Legendary
CLOSE ENCOUNTERS,UZAYLI,IŞIK,SPIELBERG,DAĞ,UFO,Hollywood Efsaneleri,Legendary
MINORITY REPORT,GELECEK,TOM CRUISE,SPIELBERG,POLIS,CINAYET,Hollywood Efsaneleri,Legendary
CATCH ME IF YOU CAN,SAHTEKAR,DICAPRIO,SPIELBERG,TOM HANKS,DOLANDIRICI,Hollywood Efsaneleri,Legendary
WAR OF THE WORLDS,UZAYLI,ISTILA,TOM CRUISE,SPIELBERG,ROBOT,Hollywood Efsaneleri,Legendary
LEONARDO DICAPRIO,TITANIC,OSCAR,INCEPTION,REVENANT,AKTÖR,Hollywood Efsaneleri,Legendary
BRAD PITT,FIGHT CLUB,SEVEN,ANGELINA JOLIE,YAKIŞIKLI,OSCAR,Hollywood Efsaneleri,Legendary
TOM HANKS,FORREST GUMP,CAST AWAY,OSCAR,TOY STORY,AKTÖR,Kült Filmler & Yönetmenler,Epic
AL PACINO,GODFATHER,SCARFACE,SCENT OF A WOMAN,MICHAEL CORLEONE,AKTÖR,Hollywood Efsaneleri,Legendary
ROBERT DE NIRO,TAXI DRIVER,GODFATHER,GOODFELLAS,OSCAR,AKTÖR,Hollywood Efsaneleri,Legendary
JOHNNY DEPP,KORSAN,JACK SPARROW,MAKAS ELLER,ALICE,AMBER HEARD,Sinema Dünyası & Terimler,Rare
TOM CRUISE,MISSION IMPOSSIBLE,TOP GUN,SILAH,DUBLÖR,AKSIYON,Hollywood Efsaneleri,Legendary
WILL SMITH,MEN IN BLACK,OSCAR,TOKAT,RAP,I AM LEGEND,Kült Filmler & Yönetmenler,Rare
KEANU REEVES,MATRIX,JOHN WICK,NEO,SPEED,KANADA,Hollywood Efsaneleri,Legendary
CHRISTIAN BALE,BATMAN,PRESTIGE,MAKINEST,ZAYIFLAMAK,OSCAR,Kült Filmler & Yönetmenler,Rare
MATT DAMON,BOURNE,INTERSTELLAR,MARTIAN,BRAD PITT,AKTÖR,Hollywood Efsaneleri,Legendary
MORGAN FREEMAN,SES,TANRI,SHAWSHANK,YAŞLI,OSCAR,Hollywood Efsaneleri,Legendary
JACK NICHOLSON,SHINING,BATMAN,JOKER,DEPARTED,OSCAR,Kült Filmler & Yönetmenler,Rare
CLINT EASTWOOD,KOVBOY,SILAH,YÖNETMEN,DURAN ADAM,AKTÖR,Kült Filmler & Yönetmenler,Rare
MERYL STREEP,OSCAR,DEVIL WEARS PRADA,MAMMA MIA,AKTRIS,ADAYLIK,Kült Filmler & Yönetmenler,Rare
ANGELINA JOLIE,BRAD PITT,LARA CROFT,AKTRIS,DÖVME,GÜZEL,Hollywood Efsaneleri,Legendary
SCARLETT JOHANSSON,BLACK WIDOW,AVENGERS,MARVEL,AKTRIS,SARISIN,Sinema Dünyası & Terimler,Epic
JENNIFER LAWRENCE,HUNGER GAMES,KATNISS,OSCAR,AKTRIS,DÜŞMEK,Kült Filmler & Yönetmenler,Rare
EMMA STONE,LA LA LAND,SPIDER MAN,OSCAR,AKTRIS,KIZIL,Kült Filmler & Yönetmenler,Rare
MARGOT ROBBIE,BARBIE,HARLEY QUINN,WOLF OF WALL STREET,SARISIN,AKTRIS,Sinema Dünyası & Terimler,Rare
NATALIE PORTMAN,LEON,MATHILDA,BLACK SWAN,OSCAR,STAR WARS,Hollywood Efsaneleri,Legendary
JULIA ROBERTS,PRETTY WOMAN,OSCAR,GÜLÜŞ,AKTRIS,AŞK,Kült Filmler & Yönetmenler,Rare
KATE WINSLET,TITANIC,ROSE,OSCAR,AKTRIS,INGILTERE,Hollywood Efsaneleri,Legendary
ANNE HATHAWAY,DEVIL WEARS PRADA,BATMAN,LES MISERABLES,OSCAR,AKTRIS,Kült Filmler & Yönetmenler,Rare
SANDRA BULLOCK,SPEED,GRAVITY,OSCAR,AKTRIS,AŞK,Kült Filmler & Yönetmenler,Rare
NICOLE KIDMAN,OSCAR,TOM CRUISE,SAATLER,AVUSTRALYA,AKTRIS,Hollywood Efsaneleri,Legendary
CHARLIZE THERON,MAD MAX,MONSTER,OSCAR,AKTRIS,SARISIN,Kült Filmler & Yönetmenler,Rare
PENELOPE CRUZ,ISPANYOL,JAVIER BARDEM,OSCAR,AKTRIS,GÜZEL,Kült Filmler & Yönetmenler,Rare
EMMA WATSON,HARRY POTTER,HERMIONE,BEAUTY AND THE BEAST,INGILTERE,AKTRIS,Sinema Dünyası & Terimler,Epic
JENNIFER ANISTON,FRIENDS,RACHEL,BRAD PITT,AKTRIS,SAÇ,Hollywood Efsaneleri,Legendary
BRUCE WILLIS,DIE HARD,ZOR ÖLÜM,PULP FICTION,KEL,AKSIYON,Hollywood Efsaneleri,Legendary
ARNOLD SCHWARZENEGGER,TERMINATOR,KAS,VALI,AVUSTURYA,ROBOT,Sinema Dünyası & Terimler,Rare
SYLVESTER STALLONE,ROCKY,RAMBO,BOKS,AKSIYON,YAZAR,Sinema Dünyası & Terimler,Rare
JACKIE CHAN,KUNG FU,ÇIN,DÖVÜŞ,KOMEDI,DUBLÖR,Sinema Dünyası & Terimler,Rare
LIAM NEESON,TAKEN,KIZIM,SILAH,AKSIYON,INGILTERE,Sinema Dünyası & Terimler,Rare
HUGH JACKMAN,WOLVERINE,X-MEN,PRESTIGE,AVUSTRALYA,PENÇE,Sinema Dünyası & Terimler,Rare
DANIEL RADCLIFFE,HARRY POTTER,GÖZLÜK,BÜYÜCÜ,ASA,INGILTERE,Sinema Dünyası & Terimler,Epic
ROBERT DOWNEY JR,IRON MAN,AVENGERS,MARVEL,SHERLOCK,OSCAR,Kült Filmler & Yönetmenler,Epic
MARK WAHLBERG,MATT DAMON,AKSIYON,KAS,DEPARTED,RAP,Sinema Dünyası & Terimler,Rare
DWAYNE JOHNSON,KAYA,KAS,GÜREŞ,KEL,ROCK,Sinema Dünyası & Terimler,Rare
VIN DIESEL,ARABA,AKSİYON,KEL,SES,DOMINIC,Sinema Dünyası & Terimler,Rare
JASON STATHAM,TRANSPORTER,KEL,INGILTERE,DÖVÜŞ,ARABA,Sinema Dünyası & Terimler,Rare
DANIEL CRAIG,INGILTERE,GÖZ,AJAN,7,JAMES BOND,Sinema Dünyası & Terimler,Rare
RYAN REYNOLDS,DEADPOOL,MARVEL,KOMEDI,BLAKE LIVELY,KIRMIZI,Sinema Dünyası & Terimler,Rare
CHRIS HEMSWORTH,THOR,MARVEL,ÇEKIÇ,AVUSTRALYA,AVENGERS,Sinema Dünyası & Terimler,Epic
CHRIS EVANS,CAPTAIN AMERICA,MARVEL,KALKAN,AVENGERS,AKTÖR,Sinema Dünyası & Terimler,Epic
BEN AFFLECK,BATMAN,JENNIFER LOPEZ,ARGO,OSCAR,AKTÖR,Kült Filmler & Yönetmenler,Rare
JARED LETO,JOKER,SAÇ,MÜZISYEN,30 SECONDS TO MARS,OSCAR,Kült Filmler & Yönetmenler,Rare
JOAQUIN PHOENIX,JOKER,GLADYATÖR,OSCAR,VEGAN,ROMA,Kült Filmler & Yönetmenler,Rare
HEATH LEDGER,JOKER,DARK KNIGHT,OSCAR,ÖLÜM,AVUSTRALYA,Hollywood Efsaneleri,Legendary
SAMUEL L JACKSON,PULP FICTION,NICK FURY,MARVEL,GÖZLÜK,Zenci,Hollywood Efsaneleri,Legendary
ANTHONY HOPKINS,HANNIBAL LECTER,KUZULARIN SESSIZLIĞI,OSCAR,YAŞLI,INGILTERE,Kült Filmler & Yönetmenler,Rare
DABNEY COLEMAN,AKTÖR,9 TO 5,BIYIK,TV,DRAM,Sinema Dünyası & Terimler,Rare
CLINT EASTWOOD,KOVBOY,SILAH,YÖNETMEN,DURAN ADAM,OSCAR,Kült Filmler & Yönetmenler,Rare
BENEDICT CUMBERBATCH,SHERLOCK,DR STRANGE,MARVEL,INGILTERE,SES,Sinema Dünyası & Terimler,Rare
TOM HIDDLESTON,LOKI,MARVEL,THOR,INGILTERE,AVENGERS,Sinema Dünyası & Terimler,Epic
IDRIS ELBA,LUTHER,INGILTERE,AVENGERS,Zenci,AKTÖR,Sinema Dünyası & Terimler,Epic
GARY OLDMAN,BATMAN,HARRY POTTER,SIRIUS BLACK,OSCAR,INGILTERE,Kült Filmler & Yönetmenler,Epic
EDWARD NORTON,FIGHT CLUB,HULK,AMERICAN HISTORY X,OSCAR,AKTÖR,Hollywood Efsaneleri,Legendary
ROWAN ATKINSON,MR BEAN,KOMEDI,ARABA,INGILTERE,JOHNNY ENGLISH,Sinema Dünyası & Terimler,Rare
JIM CARREY,MASKE,TRUMAN SHOW,KOMEDI,YEŞIL,DUMB AND DUMBER,Sinema Dünyası & Terimler,Rare
ROBIN WILLIAMS,JUMANJI,DEAD POETS,OSCAR,KOMEDI,MIMIK,Kült Filmler & Yönetmenler,Rare
STEVE CARELL,THE OFFICE,MICHAEL SCOTT,KOMEDI,AMERIKA,DRAM,Sinema Dünyası & Terimler,Rare
WILL FERRELL,KOMEDI,ANCHORMAN,AMERIKA,BOY,SAÇ,Sinema Dünyası & Terimler,Rare
BEN STILLER,NIGHT AT THE MUSEUM,ZOOLANDER,KOMEDI,AMERIKA,AKTÖR,Sinema Dünyası & Terimler,Rare
ADAM SANDLER,KOMEDI,AMERIKA,AŞK,GÜLMEK,PANTOLON,Sinema Dünyası & Terimler,Rare
SETH ROGEN,KOMEDI,GÖZLÜK,SAKAL,SES,KANADA,Sinema Dünyası & Terimler,Rare
JONAH HILL,WOLF OF WALL STREET,SUPERBAD,ZAYIFLAMAK,KOMEDI,OSCAR,Kült Filmler & Yönetmenler,Rare
ZAC EFRON,HIGH SCHOOL MUSICAL,KAS,AMERIKA,GÖZ,AKTÖR,Sinema Dünyası & Terimler,Rare
TIMOTHEE CHALAMET,DUNE,WONKA,GENÇ,KIVIRCIK SAÇ,AŞK,Sinema Dünyası & Terimler,Rare
TOM HOLLAND,SPIDER MAN,MARVEL,ZENDAYA,INGILTERE,AVENGERS,Sinema Dünyası & Terimler,Epic
ZENDAYA,SPIDER MAN,EUPHORIA,DUNE,TOM HOLLAND,AKTRIS,Sinema Dünyası & Terimler,Rare
FLORENCE PUGH,DUNE,OPPENHEIMER,AKTRIS,INGILTERE,GÜZEL,Sinema Dünyası & Terimler,Rare
SAOIRSE RONAN,LITTLE WOMEN,OSCAR,IRLANDA,AKTRIS,GÖZ,Kült Filmler & Yönetmenler,Rare
EMILY BLUNT,OPPENHEIMER,A QUIET PLACE,INGILTERE,AKTRIS,OSCAR,Kült Filmler & Yönetmenler,Rare
JESSICA CHASTAIN,INTERSTELLAR,OSCAR,KIZIL,AKTRIS,GÜZEL,Kült Filmler & Yönetmenler,Epic
AMY ADAMS,ARRIVAL,OSCAR,KIZIL,AKTRIS,SUPERMAN,Kült Filmler & Yönetmenler,Rare
LUPITA NYONG'O,OSCAR,BLACK PANTHER,Zenci,AKTRIS,12 YEARS A SLAVE,Kült Filmler & Yönetmenler,Rare
VIOLA DAVIS,OSCAR,HOW TO GET AWAY WITH MURDER,Zenci,AKTRIS,EGOT,Kült Filmler & Yönetmenler,Rare
OCTAVIA SPENCER,OSCAR,THE HELP,Zenci,AKTRIS,AMERIKA,Kült Filmler & Yönetmenler,Rare
CHRISTOPHER NOLAN,INCEPTION,DARK KNIGHT,INTERSTELLAR,ZAMAN,OPPENHEIMER,Hollywood Efsaneleri,Legendary
QUENTIN TARANTINO,PULP FICTION,KILL BILL,KAN,AYAK,YÖNETMEN,Hollywood Efsaneleri,Legendary
STEVEN SPIELBERG,JAWS,SCHINDLER'S LIST,DINOZOR,OSCAR,E.T.,Hollywood Efsaneleri,Legendary
MARTIN SCORSESE,TAXI DRIVER,GOODFELLAS,DICAPRIO,DE NIRO,OSCAR,Hollywood Efsaneleri,Legendary
ALFRED HITCHCOCK,PSYCHO,VERTIGO,KORKU,KUŞLAR,INGILTERE,Hollywood Efsaneleri,Legendary
STANLEY KUBRICK,2001 SPACE ODYSSEY,SHINING,CLOCKWORK ORANGE,OSCAR,DAHI,Hollywood Efsaneleri,Legendary
JAMES CAMERON,TITANIC,AVATAR,TERMINATOR,MAVI,YÖNETMEN,Hollywood Efsaneleri,Legendary
RIDLEY SCOTT,GLADIATOR,ALIEN,BLADE RUNNER,INGILTERE,YÖNETMEN,Kült Filmler & Yönetmenler,Epic
DAVID FINCHER,FIGHT CLUB,SEVEN,ZODIAC,SOCIAL NETWORK,YÖNETMEN,Hollywood Efsaneleri,Legendary
TIM BURTON,BATMAN,GOTIK,KORKU,JOHNNY DEPP,HELENA BONHAM CARTER,Sinema Dünyası & Terimler,Rare
PETER JACKSON,YÜZÜKLERIN EFENDISI,HOBBIT,OSCAR,YENI ZELANDA,GANDALF,Kült Filmler & Yönetmenler,Rare
GEORGE LUCAS,STAR WARS,LUKE SKYWALKER,DARTH VADER,INDIANA JONES,UZAY,Hollywood Efsaneleri,Legendary
FRANCIS FORD COPPOLA,THE GODFATHER,APOCALYPSE NOW,CORLEONE,OSCAR,SOYAD,Hollywood Efsaneleri,Legendary
WOODY ALLEN,NEW YORK,GÖZLÜK,KLARNET,KOMEDI,OSCAR,Kült Filmler & Yönetmenler,Rare
WES ANDERSON,SIMETRI,GRAND BUDAPEST HOTEL,RENKLER,MARGINAL,PASTEL,Sinema Dünyası & Terimler,Rare
DENIS VILLENEUVE,DUNE,BLADE RUNNER 2049,ARRIVAL,PRISONERS,KANADA,Sinema Dünyası & Terimler,Rare
GUILLERMO DEL TORO,PAN'IN LABIRENTI,MEKSIKA,OSCAR,CANAVAR,SHAPE OF WATER,Kült Filmler & Yönetmenler,Rare
BONG JOON HO,PARASITE,KORE,OSCAR,ZENGIN,YÖNETMEN,Kült Filmler & Yönetmenler,Rare
HAYAO MIYAZAKI,ANIME,JAPONYA,GHIBLI,SPIRITED AWAY,TOTORO,Sinema Dünyası & Terimler,Rare
AKIRA KOROSAWA,JAPONYA,SEVEN SAMURAI,SAMURAY,SINEMA,KLASIK,Sinema Dünyası & Terimler,Rare
DAVID LYNCH,TWIN PEAKS,RÜYA,MULLHOLLAND DRIVE,GIZEM,SÜRREAL,Sinema Dünyası & Terimler,Rare
COEN BROTHERS,FARGO,NO COUNTRY FOR OLD MEN,OSCAR,KARDEŞLER,YÖNETMEN,Kült Filmler & Yönetmenler,Rare
ALFONSO CUARON,ROMA,GRAVITY,MEKSIKA,OSCAR,YÖNETMEN,Kült Filmler & Yönetmenler,Rare
ALEJANDRO INARRITU,BIRDMAN,REVENANT,OSCAR,MEKSIKA,YÖNETMEN,Kült Filmler & Yönetmenler,Rare
NURI BILGE CEYLAN,TÜRK,KASABA,UZAK,KIŞ UYKUSU,KANNES,Yerli Klasikler & Efsaneler,Rare
FATIH AKIN,DUVARA KARŞI,ALMANYA,TÜRK,GÜNEŞLI,ALTIN AYI,Yerli Klasikler & Efsaneler,Rare
YAVUZ TURGUL,ŞENER ŞEN,EŞKIYA,MUHSIN BEY,AŞK FILMLERININ,YÖNETMEN,Kült Filmler & Yönetmenler,Rare
REHA ERDEM,TÜRK,KASABA,KORKUYORUM ANNE,SINEMA,YÖNETMEN,Kült Filmler & Yönetmenler,Rare
SERDAR AKAR,GEMIDE,DAR ALANDA KISA PASLAŞMALAR,TÜRK,YÖNETMEN,KÜLT,Kült Filmler & Yönetmenler,Rare
ZAN ZIMMER,MÜZIK,BESTECI,NOLAN,INTERSTELLAR,OSCAR,Hollywood Efsaneleri,Legendary
JOHN WILLIAMS,BESTECI,STAR WARS,INDIANA JONES,OSCAR,SPIELBERG,Hollywood Efsaneleri,Legendary
ENnio MORRICONE,BESTECI,KOVBOY,IYI KÖTÜ ÇIRKIN,ITALYA,OSCAR,Kült Filmler & Yönetmenler,Rare
DANNY ELFMAN,BESTECI,TIM BURTON,SIMPSONS,BATMAN,MÜZIK,Sinema Dünyası & Terimler,Rare
