Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5
PEARL JAM,EDDIE VEDDER,GRUNGE,SEATTLE,ALIVE,ROCK
FOO FIGHTERS,DAVE GROHL,ROCK,NIRVANA,DAVUL,GITAR
THE RAMONES,PUNK,DERI CEKET,NEW YORK,HEY HO LET'S GO,ROCK
THE CLASH,PUNK,SHOULD I STAY,LONDRA,ROCK,INGILTERE
THE POLICE,STING,EVERY BREATH YOU TAKE,INGILTERE,ROCK,BASS
THE CURE,ROBERT SMITH,GOTIK,MAKYAJ,SAÇ,INGILTERE
THE WHO,ROCK,INGILTERE,GITAR PARÇALAMAK,DAVUL,BABA O RILEY
THE DOORs,JIM MORRISON,SHAMAN,ROCK,PIYANO,AMERIKA
THE BEACH BOYS,SURF,KALIFORNIYA,HARMONI,KOKOMO,POP
THE SMITHS,MORRISSEY,INGILTERE,GITAR,MELANKOLI,VEJARYEN
JOY DIVISION,IAN CURTIS,POST PUNK,INGILTERE,DANS,LOVE TEAR US APART
NEW ORDER,BLUE MONDAY,ELEKTRONIK,INGILTERE,DAVUL,DANS
KRAFTWERK,ALMANYA,ROBOT,ELEKTRONIK,TEKNO,SINYAL
PET SHOP BOYS,SYNTHPOP,INGILTERE,DANS,IKILI,WEST END GIRLS
DURAN DURAN,POP ROCK,INGILTERE,SAÇ,80LER,RIO
GENESIS,PHIL COLLINS,PETER GABRIEL,ROCK,INGILTERE,BATERI
MICHAEL JACKSON,MOONWALK,POP,ELDIVEN,BILLIE JEAN,THRILLER
MADONNA,POP,SARISIN,DANS,KRALIÇE,LIKE A VIRGIN
BOB MARLEY,REGGAE,JAMAIKA,SAÇ,RASTAFARYAN,NO WOMAN NO CRY
EMINEM,DETROIT,RAP,SLIM SHADY,8 MILE,LOSE YOURSELF
BILLIE EILISH,GRAMMY,BAD GUY,YEŞIL SAÇ,GENÇ,DEPRESIF
ELVIS PRESLEY,ROCK AND ROLL,DANS,SAÇ,AMERIKA,KRAL
ELTON JOHN,PIYANO,GÖZLÜK,INGILTERE,CANDLE IN THE WIND,ROKET ADAM
DAVID BOWIE,MAKYAJ,GÖZ,UZAY,INGILTERE,HEROES
JIMI HENDRIX,GITAR,SOLAK,SOLO,FESTIVAL,AMERIKA
STEVIE WONDER,GÖZLÜK,KÖR,PIYANO,SOUL,AMERIKA
BOB DYLAN,GITAR,ARMONIKA,NOBEL,FOLK,LIKE A ROLLING STONE
BRUCE SPRINGSTEEN,AMERIKA,ROCK,BOSS,GITAR,BORN IN USA
PRINCE,MOR,PURPLE RAIN,GITAR,DANS,KÜÇÜK
WHITNEY HOUSTON,SES,I WILL ALWAYS LOVE YOU,Zenci,AKTRIS,DRAM
CELINE DION,TITANIC,MY HEART WILL GO ON,KANADA,SES,AŞK
MARIAH CAREY,NOEL,ALL I WANT FOR CHRISTMAS,SES,POP,AMERIKA
SHAKIRA,WAKA WAKA,KOLOMBIYA,DANS,KALÇA,PIQUE
BEYONCE,SINGLE LADIES,JAY Z,Zenci,DANS,POP
RIHANNA,BARBADOS,UMBRELLA,MAKYAJ,FENTY,POP
TAYLOR SWIFT,COUNTRY,POP,GIRLFRIEND,SARISIN,TURNUVA
LADY GAGA,ET ELBISE,MARJINAL,POKER FACE,PIYANO,OSCAR
ADELE,HELLO,INGILTERE,SES,KILO,DRAM
BRUNO MARS,UPTOWN FUNK,DANS,ŞAPKA,AMERIKA,POP
JUSTIN BIEBER,BABY,KANADA,SAÇ,GENÇ,HAILEY
ED SHEERAN,KIZIL,GITAR,SHAPE OF YOU,INGILTERE,POP
THE WEEKND,KANADA,BLINDING LIGHTS,SAÇ,Zenci,POP
DRAKE,RAP,KANADA,DANS,HOTLINE BLING,KAS
SNOOP DOGG,RAP,YEŞIL,LOS ANGELES,BIYIK,ZAYIF
TUPAC SHAKUR,RAP,2PAC,ÖLÜM,DETROIT,GANGSTER
NOTORIOUS BIG,RAP,BIGGIE,ÖLÜM,DOĞU YAKASI,ŞIŞMAN
JAY Z,BEYONCE,RAP,ZENGIN,NEW YORK,PLAK
KANYE WEST,RAP,KIM KARDASHIAN,KAYNE,TASARIMCI,YEEZY
LANA DEL REY,SUMMERTIME SADNESS,DEPRESIF,AMERIKA,AŞK,DUDAK
DUA LIPA,ARNAVUT,INGILTERE,DANS,POP,GÜZEL
ARIANA GRANDE,AT KUYRUĞU SAÇ,SES,POP,AMERIKA,GENÇ
SELENA GOMEZ,JUSTIN BIEBER,GENÇ,AKTRIS,POP,AMERIKA
MILEY CYRUS,FLOWERS,HANNAH MONTANA,POP,AMERIKA,SAÇ
POST MALONE,DÖVME,SAKAL,ROCKSTAR,AMERIKA,RAP
TRAVIS SCOTT,KARDASHIAN,RAP,KONSER,AMERIKA,OT
ASAP ROCKY,RIHANNA,RAP,MODA,DÖVME,AMERIKA
KENDRICK LAMAR,RAP,PULITZER,COMPTON,Zenci,AMERIKA
FRANK SINATRA,MY WAY,CAZ,GÖZ,MAVİ,AMERIKA
ARETHA FRANKLIN,RESPECT,SES,SOUL,Zenci,Kraliçe
RAY CHARLES,PIYANO,GÖZLÜK,KÖR,SOUL,AMERIKA
LOUIS ARMSTRONG,TROMPE,CAZ,SES,NEW ORLEANS,Zenci
ELLA FITZGERALD,CAZ,SES,SOUL,Zenci,AMERIKA
JOHNNY CASH,KOVBOY,GITAR,SIYAH,FOLK,AMERIKA
AMY WINEHOUSE,BACK TO BLACK,SAÇ,INGILTERE,DÖVME,27 KULÜBÜ
JANIS JOPLIN,HIPPI,ROCK,SES,27 KULÜBÜ,GITAR
JIM MORRISON,THE DOORS,27 KULÜBÜ,ROCK,ŞAIR,AMERIKA
KURT COBAIN,NIRVANA,GITAR,GRUNGE,27 KULÜBÜ,INTIHAR
JIMI HENDRIX,GITAR,SOLO,27 KULÜBÜ,FESTIVAL,SOLAK
CHRIS CORNELL,AUDIOSLAVE,SOUNDGARDEN,SES,ROCK,INTIHAR
CHESTER BENNINGTON,LINKIN PARK,SES,ROCK,INTIHAR,DÖVME
FREDDIE MERCURY,QUEEN,BIYIK,SES,PIYANO,BOHEMIAN
STING,THE POLICE,INGILTERE,BASS,GITAR,EVERY BREATH
PHIL COLLINS,GENESIS,DAVUL,KEL,INGILTERE,SES
PETER GABRIEL,GENESIS,INGILTERE,SES,YÖNETMEN,DANS
PAUL MCCARTNEY,BEATLES,INGILTERE,BASS,PIYANO,GITAR
JOHN LENNON,BEATLES,INGILTERE,IMAGINE,GÖZLÜK,YOKO ONO
GEORGE HARRISON,BEATLES,INGILTERE,GITAR,HINDISTAN,SOMETHING
RINGO STARR,BEATLES,INGILTERE,DAVUL,GÖZLÜK,SAÇ
OZZY OSBOURNE,BLACK SABBATH,YARASA,METAL,SAÇ,INGILTERE
DIO,BLACK SABBATH,METAL ELI,SES,ROCK,AMERIKA
ROB HALFORD,JUDAS PRIEST,METAL,MOTOR,DERI CEKET,INGILTERE
BRUCE DICKINSON,IRON MAIDEN,PILOT,SES,METAL,INGILTERE
AXL ROSE,GUNS N ROSES,SES,DANS,SAÇ bandı,ROCK
SLASH,GUNS N ROSES,ŞAPKA,GITAR,SAÇ,SOLO
ANGUS YOUNG,ACDC,OKUL ÜNIFORMASI,GITAR,SOLO,AVUSTRALYA
STEVEN TYLER,AEROSMITH,AĞIZ,SES,DANS,AMERIKA
BEETHOVEN,SENFONI,PIYANO,SAĞIR,BESTECI,KLASIK MÜZIK
MOZART,AMADEUS,SENFONI,DAHI,BESTECI,AVUSTURYA
BACH,BESTECI,ALMANYA,ORG,KLASIK MÜZIK,BAROK
CHOPIN,PIYANO,BESTECI,POLONYA,ROMANTIK,NOKTÜRN
TCHAIKOVSKY,BESTECI,RUSYA,KUTSAL BALELER,KUĞU GÖLÜ,FINDIKKIRAN
VIVALDI,DÖRT MEVSIM,KEMAN,ITALYA,BESTECI,BAROK
WAGNER,BESTECI,ALMANYA,OPERA,ROMANTIK,VALKÜR
SCHUBERT,BESTECI,AVUSTURYA,ROMANTIK,SENFONI,AVEMARIA
LISTZ,PIYANO,BESTECI,MACARISTAN,SOLO,SAÇ
VERDI,OPERA,AIDA,ITALYA,BESTECI,KORO
PUCCINI,OPERA,TURANDOT,MADAME BUTTERFLY,ITALYA,BESTECI
ROSSINI,SEVIL BERBERI,OPERA,ITALYA,BESTECI,YEMEK
BIZET,CARMEN,OPERA,FRANSA,BESTECI,ISPANYOL
HANDEL,BESTECI,ALMANYA,MESSIAH,HALLELUJAH,BAROK
HAYDN,BESTECI,AVUSTURYA,SENFONI,KLASIK,BABA
BRAHMS,BESTECI,ALMANYA,NINNI,ROMANTIK,SENFONI
SCHUMANN,BESTECI,ALMANYA,PIYANO,ROMANTIK,DELILIK
DEBUSSY,BESTECI,FRANSA,EMPRESIONIZM,AY IŞIĞI,PIYANO
RAVEL,BOLERO,FRANSA,BESTECI,ORKESTRA,RITIM
STRAUSS,VALS,MAVI TUNA,AVUSTURYA,BESTECI,ORKESTRA
MAHLER,BESTECI,AVUSTURYA,SENFONI,DEV,DRAM
RACHMANINOFF,PIYANO,BESTECI,RUSYA,DEV ELLER,ROMANTIK
SHOSTAKOVICH,SENFONI,BESTECI,RUSYA,SOVYET,VALS
STRAVINSKY,BAHAR AYINI,RUSYA,BALE,MODERN,BESTECI
PROKOFIEV,ROmeo ve Juliet,RUSYA,PETER VE KURT,BESTECI,BALE
GERSHWIN,RAPSODY IN BLUE,AMERIKA,CAZ,BESTECI,PIYANO
SOUSA,MARŞ,AMERIKA,BANDO,BESTECI,TROMPE
PAGANINI,KEMAN,ITALYA,BESTECI,ŞEYTAN,SOLO
SARASATE,KEMAN,ISPANYOL,BESTECI,SOLO,ÇINGENE
ELGAR,BESTECI,INGILTERE,MARŞ,YAŞLI,MÜZIK
SIBELIUS,BESTECI,FINLANDIYA,SENFONI,MÜZIK,MILLI
GRIEG,BESTECI,NORVEÇ,PEER GYNT,ORKESTRA,PIYANO
COPLAND,BESTECI,AMERIKA,ORKESTRA,MÜZIK,MODERN
BERLIOZ,BESTECI,FRANSA,FANTASTIK SENFONI,ORKESTRA,ROMANTIK
MENDELSSOHN,BESTECI,ALMANYA,DÜĞÜN MARŞI,ROMANTIK,PIYANO
LISZT,BESTECI,MACARISTAN,PIYANO,SAÇ,SOLO
SAINT SAENS,BESTECI,FRANSA,HAYVANLAR KARNAVALI,ORKESTRA,ORGAN
FAURE,BESTECI,FRANSA,REQUIEM,PIYANO,ROMANTIK
RIMSKY KORSAKOV,BESTECI,RUSYA,ARININ UÇUŞU,ORKESTRA,MASAL
MUSSORGSKY,BESTECI,RUSYA,KARTALLAR SERGISI,ORKESTRA,PIYANO
BORODIN,BESTECI,RUSYA,PRENS IGOR,KORO,KIMYACI
GLINKA,BESTECI,RUSYA,RUSLAN VE LUDMILA,OPERA,BABA
SATI,BESTECI,FRANSA,GYMNOPEDIE,PIYANO,MODERN
BARTOK,BESTECI,MACARISTAN,HALK MÜZIĞI,MODERN,KEMAN
KODALY,BESTECI,MACARISTAN,HALK MÜZIĞI,YÖNTEM,KORO
JANACEK,BESTECI,ÇEK,OPERA,MÜZIK,MODERN
DVORAK,BESTECI,ÇEK,YENI DÜNYA SENFONISI,ORKESTRA,ROMANTIK
SMETANA,BESTECI,ÇEK,VLTAVA,SENFONI,SAĞIR
BRUCKNER,BESTECI,AVUSTURYA,SENFONI,ORGAN,DIN
MAHLER,BESTECI,AVUSTURYA,SENFONI,DRAM,DEV
TARKAN,POP,DANS,MEGASTAR,ŞIKIDIM,TÜRK
SEZEN AKSU,POP,ŞARKI YAZARI,MİNİK SERÇE,TÜRK,SES
BARIŞ MANÇO,TÜRK ROCK,SAÇ,YÜZÜK,7DEN 77YE,ARKADAŞIM EŞEK
CEM KARACA,TÜRK ROCK,ANADOLU,ŞAPKA,GÖZLÜK,ISLAK ISLAK
ERKIN KORAY,TÜRK ROCK,BABA,ANADOLU,ÇÖPÇÜLER,FULA FULA
AJDA PEKKAN,TÜRK,POP,DANS,YAŞLANMAYAN,SÜPERSTAR
ZEKI MÜREN,TÜRK SANAT MÜZIĞI,ELBİSE,SES,SANAT GÜNEŞİ,BODRUM
MÜSLÜM GÜRSES,ARABESK,BABA,BIYIK,JILET,TÜRK
IBRAHIM TATLISES,TÜRKÜ,BIYIK,MAVI MAVI,İMPARARATOR,HÜLYA AVŞAR
ORHAN GENCEBAY,ARABESK,GITAR,BAĞLAMA,BIYIK,BATSIN BU DÜNYA
MANGA,TÜRK ROCK,EUROVISION,ROBOT,WE COULD BE SAME,FERMAN
DUMAN,ROCK,TÜRK,KAAN,BENİ YAK KENDİNİ YAK,GITAR
MOR VE ÖTESI,ROCK,TÜRK,EUROVISION,HARUN TEKİN,CAMBAZ
ATHENA,TÜRK,ROCK,SKA,EUROVISION,FORZA
SERTAB ERENER,EUROVISION,EVERYWAY THAT I CAN,SES,POP,TÜRK
HADISE,POP,DANS,EUROVISION,DÜM TEK TEK,BELÇIKA
MURAT BOZ,POP,JÜRI,O SES,TÜRK,SAÇ
KENAN DOĞULU,POP,TÜRK,EUROVISION,SHAKE IT UP,BEREN SAAT
MUSTAFA SANDAL,POP,TÜRK,ARABA,AYA BENZER,DAĞLAR DAĞLAR
TEOMAN,ROCK,TÜRK,PAPATYA,MÜZIK,RAPSODİ İSTANBUL
ŞEBNEM FERAH,SES,ROCK,VOLKAN KONAK,MAYIN TARLASI,TÜRK
MFÖ,MAZHAR ALANSON,FUAT GÜNER,ÖZKAN UĞUR,GRUP,ELE GÜNE KARŞI
PENTAGRAM,METAL,TÜRK,SOLO,GITAR,MEZARKABUL
HALUK LEVENT,AHBAP,ROCK,TÜRK,DEPREM,GITAR
YALIN,AŞK,ELLERINE SAĞLIK,POP,TÜRK,ROMANTIK
GÖKHAN ÖZEN,POP,CİVCİV,TÜRK,CİVCİV,ARAMAZSAN ARAMA
SERDAR ORTAÇ,POP,TÜRK,GIYBET,KUMAR,KARABİBERİM
DEMET AKALIN,POP,TÜRK,ATARLI ŞARKILAR,İBRAHİM KUTLUAY,TWITTER
HANDE YENER,POP,DANS,SEZEN AKSU,MARJINAL,TÜRK
GÜLŞEN,POP,ELBISE,YURTTA AŞK cihanda ask,DANS,TÜRK
SILA,SES,POP,TÜRK,ROMANTIK,ŞARKI YAZARI
MABEL MATIZ,MARJINAL,ANTIKUNTIN,TÜRK,POP,SES
EDIS,DANS,POP,GENÇ,TÜRK,MARTILAR
ZEYNEP BASTIK,TÜRK,POP,COVER,FELAKET,EV KONSERI
YÜZYÜZEYKEN KONUŞURUZ,KOLAYLAŞTIR,ROCK,INDIE,TÜRK,GRUP
DOLU KADEHI TERS TUT,INDIE,ROCK,TÜRK,GRUP,KAZAN
ADANALI,RAP,TÜRK,MÜZIK,CEZA,KÜLT
CEZA,RAP,SAGOPA KAJMER,HIZLI,YERLI PLAKA,TÜRK
SAGOPA KAJMER,RAP,CEZA,MELANKOLIK,PESIMIST,TÜRK
EZHEL,RAP,ALMANYA,GECELER,DÖVME,ANKARA
ÇELIK,ATEŞTEYIM,POP,90LAR,TÜRK,MÜZIK
HAKAN PEKER,EFSANE,POP,DANS,90LAR,TÜRK
HARUN KOLÇAK,POP,90LAR,SES,TÜRK,GIR KANIMA
YONCA EVCIMIK,ABONEYIM,POP,90LAR,DANS,TÜRK
BURAK KUT,POP,90LAR,TARKAN,BEBETO,YAŞANDI BİTTİ
BENDENIZ,SAÇ,POP,90LAR,TÜRK,SES
Mirkelam,POP,90LAR,TÜRK,KOŞAN ADAM,HER GECE
GÖKSEL,DEPRESIF,POP,TÜRK,AŞK,SES
SEBNEM FERAH,ROCK,TÜRK,SİGARA,SİL BAŞTAN,YAĞMURLAR
