Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5
FRANCIS FORD COPPOLA,THE GODFATHER,APOCALYPSE NOW,CORLEONE,OSCAR,SOYAD
WOODY ALLEN,NEW YORK,GÖZLÜK,KLARNET,KOMEDI,OSCAR
WES ANDERSON,SIMETRI,GRAND BUDAPEST HOTEL,RENKLER,MARGINAL,PASTEL
DENIS VILLENEUVE,KANADA,BLADE RUNNER 2049,ARRIVAL,YÖNETMEN,DUNE
GUILLERMO DEL TORO,MEKSIKA,OSCAR,SHAPE OF WATER,CANAVAR,PAN'IN LABIRENTI
BONG JOON HO,PARASITE,KORE,OSCAR,ZENGIN,YÖNETMEN
HAYAO MIYAZAKI,ANIME,JAPONYA,GHIBLI,SPIRITED AWAY,TOTORO
AKIRA KOROSAWA,JAPONYA,SEVEN SAMURAI,SAMURAY,SINEMA,KLASIK
DAVID LYNCH,TWIN PEAKS,RÜYA,MULLHOLLAND DRIVE,GIZEM,SÜRREAL
COEN BROTHERS,FARGO,NO COUNTRY FOR OLD MEN,OSCAR,KARDEŞLER,YÖNETMEN
ALFONSO CUARON,ROMA,GRAVITY,MEKSIKA,OSCAR,YÖNETMEN
ALEJANDRO INARRITU,BIRDMAN,REVENANT,OSCAR,MEKSIKA,YÖNETMEN
NURI BILGE CEYLAN,TÜRK,KASABA,UZAK,KIŞ UYKUSU,KANNES
FATIH AKIN,DUVARA KARŞI,ALMANYA,TÜRK,GÜNEŞLI,ALTIN AYI
YAVUZ TURGUL,ŞENER ŞEN,EŞKIYA,MUHSIN BEY,AŞK FILMLERININ,YÖNETMEN
REHA ERDEM,TÜRK,KASABA,KORKUYORUM ANNE,SINEMA,YÖNETMEN
SERDAR AKAR,GEMIDE,DAR ALANDA KISA PASLAŞMALAR,TÜRK,YÖNETMEN,KÜLT
ZAN ZIMMER,MÜZIK,BESTECI,NOLAN,INTERSTELLAR,OSCAR
JOHN WILLIAMS,BESTECI,STAR WARS,INDIANA JONES,OSCAR,SPIELBERG
ENnio MORRICONE,BESTECI,KOVBOY,IYI KÖTÜ ÇIRKIN,ITALYA,OSCAR
DANNY ELFMAN,BESTECI,TIM BURTON,SIMPSONS,BATMAN,MÜZIK
HOWARD SHORE,BESTECI,YÜZÜKLERIN EFENDISI,OSCAR,MÜZIK,GANDALF
ALAN SILVESTRI,BESTECI,AVENGERS,BACK TO THE FUTURE,MARVEL,MÜZIK
JAMES HORNER,BESTECI,TITANIC,AVATAR,OSCAR,MÜZIK
LUDWIG GORANSSON,BESTECI,OPPENHEIMER,BLACK PANTHER,OSCAR,NOLAN
BERNARD HERRMANN,BESTECI,PSYCHO,HITCHCOCK,KORKU,MÜZIK
NINO ROTA,BESTECI,GODFATHER,ITALYA,OSCAR,MÜZIK
CLINT MANSELL,BESTECI,REQUIEM FOR A DREAM,PIYANO,MÜZIK,KORKU
HABABAM SINIFI,KEMAL SUNAL,HALİT AKÇATEPE,OKUL,KÜLT,MÜNIR ÖZKUL
TOSUN PAŞA,ŞENER ŞEN,KEMAL SUNAL,LÜTFÜ,YEŞIL VADI,SEFEROĞULLARI
SÜT KARDEŞLER,RAMAZAN,ŞABAN,GULYABANI,MÜNIR ÖZKUL,KONAĞI
EŞKIYA,BARAN,UĞUR YÜCEL,ŞENER ŞEN,ISTANBUL,YAVUZ TURGUL
KEMAL SUNAL,TÜRK,AKTÖR,KOMEDI,HABABAM SINIFI,ŞABAN
ŞENER ŞEN,KEMAL SUNAL,TOSUN PAŞA,AKTÖR,BADI EKREM,VECIHI
TARIK AKAN,AKTÖR,TÜRK,YOL,HABABAM SINIFI,DAMAT FERIT
CÜNEYT ARKIN,AKTÖR,DÖVÜŞ,BATTAL GAZI,KARA MURAT,TÜRK
MÜNIR ÖZKUL,TÜRK,AKTÖR,YAŞAR USTA,HABABAM SINIFI,MAHMUT HOCA
HALIT AKÇATEPE,GÜDÜK NECMI,HABABAM SINIFI,RAMAZAN,TÜRK,AKTÖR
ADILE NAŞIT,HAFIZE ANA,KAHKAHA,HABABAM SINIFI,TÜRK,AKTRIS
KAYHAN YILDIZOĞLU,TÜRK,AKTÖR,BIYIK,TV,DRAM
FILIZ AKIN,GÜZEL,AKTRIS,TÜRK,SARISIN,YEŞILÇAM
FATMA GIRIK,AKTRIS,TÜRK,GÖZ,YEŞILÇAM,BELEDIYE BAŞKANI
HÜLYA KOÇYIĞIT,AKTRIS,TÜRK,YEŞILÇAM,SUSUZ YAZ,ROMANTIK
GÜLŞEN BUBIKOĞLU,TARIK AKAN,GÜZEL,TÜRK,YEŞILÇAM,AKTRIS
HALUK BILGINER,TÜRK,TATLI HAYAT,EMMY,ŞAHSIYET,AGAH BEYOGLU
CEM YILMAZ,G.O.R.A.,AROG,STAND UP,KOMEDI,TÜRK
NURI ALÇO,YEŞILÇAM,TÜRK,KÖTÜ KARAKTER,GAZOZ,İLAÇ
TECAVÜZCÜ COŞKUN,YEŞILÇAM,TÜRK,KÖTÜ KARAKTER,AKTÖR,TACİZ
BADI EKREM,KOŞMAK,BEDEN EĞİTİMİ,KIRMIZI EŞOFMAN,HABABAM SINIFI,SENER SEN
VECIHI,PILOT,UÇAK,GÜLEN GÖZLER,ŞENER ŞEN,AŞK
AGAH BEYOĞLU,TÜRK,SERI KATIL,UNUTKANLIK,ŞAHSIYET,HALUK BILGINER
SPIDER MAN,MARVEL,KIRMIZI MAVİ,AĞ,PETER PARKER,YARASA
IRON MAN,REAKTÖR,MARVEL,MARVEL,TONY STARK,AVENGERS
BATMAN,BRUCE WAYNE,GOTHAM,PELERIN,YARASA,MAĞARA
SUPERMAN,UÇMAK,GÖZLÜK,KIRMIZI PELERIN,CLARK KENT,KRIPTON
SHERLOCK HOLMES,LONDRA,PIPO,WATSON,BÜYÜTEÇ,DEDEKTIF
DARTH VADER,STAR WARS,LUKE,KIRMIZI IŞIN KILIÇI,SİYAH KASK,BABA
JAMES BOND,INGILTERE,MARTINI,AJAN,SILAH,7
Poor Things,Emma Stone,Frankenstein,Yorgos Lanthimos,Oscar,Bebek
Killers of the Flower Moon,Leonardo DiCaprio,Scorsese,Kızılderili,Petrol,Cinayet
Dune,Timothee Chalamet,Zendaya,Solucan,Arrakis,Çöl
Anatomy of a Fall,Fransız,Mahkeme,Düşüş,Köpek,Cinayet
The Zone of Interest,Nazi,Toplama Kampı,Ses,Duvar,Almanya
Civil War,Amerika,İç Savaş,Gazeteci,Fotoğraf,Aksiyon
Challengers,Tenis,Zendaya,Aşk Üçgeni,Raket,Turnuva
Furiosa,Mad Max,Anya Taylor Joy,Çöl,Aksiyon,Çorak Ülke
Spider-Man Across the Spider-Verse,Miles Morales,Gwen,Multiverse,Animasyon,Ağ
Everything Everywhere All at Once,Paralel Evren,Michelle Yeoh,Vergi,Oscar,Sosis
Top Gun Maverick,Tom Cruise,Savaş Uçağı,Pilot,Donanma,Kask
Avatar The Way of Water,Okyanus,Pandora,James Cameron,Mavi,Su
The Batman,Robert Pattinson,Riddler,Gotham,Yağmur,Dedektif
Glass Onion,Benoit Blanc,Daniel Craig,Cinayet,Gizem,Ada
Bullet Train,Brad Pitt,Hızlı Tren,Japonya,Suikastçı,Çanta
Triangle of Sadness,Hüzün Üçgeni,Lüks Yat,Kusmak,Ada,Zengin
Don't Look Up,Kuyruklu Yıldız,Leonardo DiCaprio,Dünyanın Sonu,Medya,Uzay
The Power of the Dog,Kovboy,Benedict Cumberbatch,Çiftlik,Piyano,Batı
Sound of Metal,Sağır,Baterist,İşitme,Müzik,Metal
The Father,Anthony Hopkins,Demans,Hafıza,Baba,Ev
Another Round,Alkol,Mads Mikkelsen,Danimarka,Öğretmen,Dans
Knives Out,Bıçaklar Çekildi,Dedektif,Miras,Cinayet,Malikane
1917,Birinci Dünya Savaşı,Tek Çekim,Mektup,Siper,İngiliz
Once Upon a Time in Hollywood,Tarantino,Brad Pitt,DiCaprio,Manson,Actor
The Irishman,Scorsese,Robert De Niro,Al Pacino,Hoffa,Mafya
Jojo Rabbit,Hitler,Çocuk,Almanya,Hayali Arkadaş,Komedi
Marriage Story,Boşanma,Scarlett Johansson,Adam Driver,Avukat,Tiyatro
Ford v Ferrari,Le Mans,Yarış,Matt Damon,Christian Bale,Araba
Little Women,Küçük Kadınlar,Kız Kardeş,Yazar,Saoirse Ronan,Roman
Uncut Gems,Adam Sandler,Elmas,Kumar,Basketbol,Borç
Midsommar,İsveç,Yaz Ortası,Çiçek Tacı,Korku,Tarikat
Us,Kopyalar,Kırmızı Elbise,Makas,Korku,Jordan Peele
Bohemian Rhapsody,Freddie Mercury,Queen,Rami Malek,Rock,Live Aid
Roma,Alfonso Cuaron,Meksika,Siyah Beyaz,Hizmetçi,Bebek
A Star Is Born,Lady Gaga,Bradley Cooper,Şarkıcı,Gitar,Müzik
A Quiet Place,Sessiz Bir Yer,Ses,Yaratık,İşaret Dili,Korku
Mission Impossible Fallout,Tom Cruise,Helikopter,Ajan,Yamaç,Aksiyon
Paddington 2,Ayı,Reçel,Londra,Hapishane,Kırmızı Şapka
The Shape of Water,Suyun Sesi,Deniz Yaratığı,Dilsiz Kadın,Laboratuvar,Oscar
Three Billboards,Üç Tabela,Cinayet,Kasaba,Anne,Polis
Lady Bird,Lise,Anne Kız,Saoirse Ronan,Sacramento,Ergenlik
Blade Runner 2049,Ryan Gosling,Harrison Ford,Replikant,Gelecek,Cyberpunk
Get Out,Kapan,Jordan Peele,Hipnoz,Çay Kaşığı,Korku
Call Me by Your Name,İtalya,Yaz,Şeftali,Timothee Chalamet,Bisiklet
Logan,Wolverine,Hugh Jackman,Yaslı,Pençe,Küçük Kız
Baby Driver,Sürücü,Kulaklık,Müzik,Banka Soygunu,Araba
Arrival,Uzay Gemisi,Dilbilim,Ahtapot Uzaylı,Zaman,Amy Adams
Moonlight,Miami,Çocukluk,Oscar,Mavi,Deniz
Manchester by the Sea,Acı,Amca,Casey Affleck,Yangın,Kasaba
Hacksaw Ridge,Savaş Tıbbiyelisi,Silah Taşımayan,Japonya,Andrew Garfield,Savaş
Zootopia,Tavşan,Tilkiler,Polis,Tembel Hayvan,Şehir
Spotlight,Gazeteci,Kilise,Taciz,Soruşturma,Boston
