Ana Kelime / Hedef	Yasaklı 1	Yasaklı 2	Yasaklı 3	Yasaklı 4	Yasaklı 5
Riz Ahmed	Oyuncu	Sound of Metal	Nightcrawler	Rogue One	Rap
Mahershala Ali	Oyuncu	Moonlight	Green Book	True Detective	2 Oscar
Sterling K. Brown	Oyuncu	This Is Us	Black Panther	American Fiction	Emmy
Carey Mulligan	Oyuncu	Promising Young Woman	Drive	Maestro	İngiliz
Keira Knightley	Oyuncu	Pirates of the Caribbean	Pride and Prejudice	Imitation Game	İngiliz
Marion Cotillard	Oyuncu	La Vie en Rose	Inception	Dark Knight Rises	Fransa
Léa Seydoux	Oyuncu	Blue Is the Warmest Color	James Bond	Dune 2	Fransa
Eva Green	Oyuncu	Casino Royale	Penny Dreadful	Dreamers	Fransa
Monica Bellucci	Oyuncu	Malèna	Matrix	İtalya	Güzellik
Penélope Cruz	Oyuncu	Vicky Cristina Barcelona	Volver	İspanya	Oscar
Salma Hayek	Oyuncu	Frida	Desperado	Eternals	Meksika
Güneşin Kızları	Hande Erçel	Burcu Özberk	Ali	Selim	Dizi
Sen Çal Kapımı	Hande Erçel	Kerem Bürsin	Eda	Serkan	Çiçekçi
Kuzgun	Barış Arduç	Burcu Biricik	İntikam	Polis	Dizi
Biz Kimseden Korkmayız	Şener Şen	Zeki Alasya	Metin Akpınar	Yeşilçam	Klasik
Şekerpare	İlyas Salman	Şener Şen	Komiser Rıza	Ziver	Ağa
Kibar Feyzo	Kemal Sunal	Müjde Ar	Şener Şen	Maho Ağa	Başlık Parası
Hababam Sınıfı	Kemal Sunal	Tarık Akan	Münir Özkul	İnek Şaban	Mahmut Hoca
Bizim Aile	Münir Özkul	Adile Naşit	Tarık Akan	Yaşar Usta	Turşu
Neşeli Günler	Münir Özkul	Adile Naşit	Oya Aydoğan	Sirke	Limon
Gülen Gözler	Münir Özkul	Adile Naşit	Şener Şen	Vecihi	Uçak
Çöpçüler Kralı	Kemal Sunal	Şener Şen	Apti	Park	Zabıta
Kapıcılar Kralı	Kemal Sunal	Seyit	Apartman	Daire	Çöp
Davaro	Kemal Sunal	Şener Şen	Hıdo	Sülo	Eşkıya
Korkusuz Korkak	Kemal Sunal	Bombacı Mülayim	Gaddar Kerim	Doktor	Lades
Sakar Şakir	Kemal Sunal	Marmara Kazım	Gardrop Fuat	Şerbetçi	Otobüs
Yedi Bela Hüsnü	Kemal Sunal	Oya Aydoğan	Şevket	Cemal	Mahalle
Propaganda	Kemal Sunal	Sinan Çetin	Sınır	Gümrük	Tel
Zübük	Kemal Sunal	Aziz Nesin	Milletvekili	Politika	Yalan
Köyden İndim Şehire	Kemal Sunal	Zeki Alasya	Metin Akpınar	Altın	Ankara
Salak Milyoner	Kemal Sunal	Zeki Alasya	Metin Akpınar	Define	İstanbul
Mavi Boncuk	Emel Sayın	Tarık Akan	Kemal Sunal	Halı	Gazino
Yalancı Yarim	Tarık Akan	Türkan Şoray	Pazarcı	Zengin	Yeşilçam
Ah Nerede	Tarık Akan	Gülşen Bubikoğlu	Çapkın	Kardeşler	İstanbul
Gırgırıye	Gülşen Bubikoğlu	Müjdat Gezen	Roman	Sulukule	Klarnet
Sultan	Türkan Şoray	Bülent Kayabaş	Dolmuşçu	Mahalle	Minibüs
Devlerin Aşkı	Türkan Şoray	Kadir İnanır	Holding	Aşk	Yeşilçam
Selvi Boylum Al Yazmalım	Kadir İnanır	Türkan Şoray	İlyas	Asya	Kamyon
Dila Hanım	Kadir İnanır	Türkan Şoray	Karadağlı Rıza	Ağa	Arazi
Tatar Ramazan	Kadir İnanır	Hapishane	Koğuş	Bıçak	Korkmuyorum
Kabadayı	Şener Şen	Kenan İmirzalıoğlu	Ali Sürmeli	Racon	Beyoğlu
Eşkıya	Şener Şen	Uğur Yücel	Baran	Cumali	Hapse
Gönül Yarası	Şener Şen	Meltem Cumbul	Timuçin Esen	Taksi	Öğretmen
Av Mevsimi	Şener Şen	Cem Yılmaz	Çetin Tekindor	Cinayet	Polis
Hacivat Karagöz Neden Öldürüldü?	Haluk Bilginer	Beyazıt Öztürk	Ezel Akay	Bursa	Osmanlı
Neredesin Firuze	Haluk Bilginer	Özkan Uğur	Cem Özer	Kaset	Şarkıcı
7 Kocalı Hürmüz	Nurgül Yeşilçay	Gülse Birsel	Ezel Akay	Kadın	Osmanlı
Organize İşler	Yılmaz Erdoğan	Tolga Çevik	Cem Yılmaz	Oto Hırsızı	Dayak
Organize İşler Sazan Sarmalı	Yılmaz Erdoğan	Kıvanç Tatlıtuğ	Sarı Saruhan	Dolandırıcı	İstanbul
Karakomik Filmler	Cem Yılmaz	Kaçamak	2 Arada	Deli	Sinema
Arif v 216	Cem Yılmaz	Ozan Güven	Seda Bakan	Robot 216	Yeşilçam
Çalgı Çengi	Ahmet Kural	Murat Cemcir	Düğün	Müzisyen	Cinayet
Düğün Dernek	Ahmet Kural	Murat Cemcir	Sivas	Tüpçü Fikret	Halay
Ayna	Andrei Tarkovsky	Rusya	Şiir	Hafıza	Köy
Stalker	Andrei Tarkovsky	Bölge	Dilek Oda	Rehber	Bilim Kurgu
Solaris	Andrei Tarkovsky	Uzay İstasyonu	Okyanus	Hafıza	Rusya
Persona	Ingmar Bergman	Bibi Andersson	Liv Ullmann	Hemşire	Dilsiz
The Seventh Seal	Ingmar Bergman	Ölüm	Satranç	Şövalye	Veba
Wild Strawberries	Ingmar Bergman	Victor Sjöström	Araba Yolculuğu	Rüya	Profesör
Rashomon	Akira Kurosawa	Toshiro Mifune	Orman	Mahkeme	Gerçek
Seven Samurai	Akira Kurosawa	Samuray	Köy	Haydut	Japonya
Ran	Akira Kurosawa	Kral Lear	Kalede	Oğullar	Savaş
Tokyo Story	Yasujirō Ozu	Anne Baba	Tokyo	Çocuklar	Japonya
In the Mood for Love	Wong Kar-wai	Maggie Cheung	Tony Leung	Hong Kong	Elbise
Chungking Express	Wong Kar-wai	Ananas	Polis	Hong Kong	Müzik
Farewell My Concubine	Chen Kaige	Pekin Operası	Çin	Aktör	Tarih
Crouching Tiger, Hidden Dragon	Ang Lee	Chow Yun-fat	Michelle Yeoh	Kılıç	Uçan
Lust, Caution	Ang Lee	Tony Leung	Casus	Şanghay	Aşk
The Great Beauty	Paolo Sorrentino	Roma	Parti	Yazar	Oscar
Youth	Paolo Sorrentino	Michael Caine	Harvey Keitel	Alpler	Otel
Amélie	Audrey Tautou	Paris	Kırmızı	Fotoğraf	İyilik
La Haine	Vincent Cassel	Paris	Polis	Silah	Siyah Beyaz
The Intouchables	Omar Sy	François Cluzet	Tekerlekli Sandalye	Bakıcı	Fransa
Portrait of a Lady on Fire	Noémie Merlant	Adèle Haenel	Ressam	Ada	Fransa
Blue Is the Warmest Color	Adèle Exarchopoulos	Léa Seydoux	Mavi Saç	Resim	Fransa
Spirited Away	Hayao Miyazaki	Chihiro	Domuz	Hamam	Anime
My Neighbor Totoro	Hayao Miyazaki	Orman	Otobüs Kedi	Kızlar	Anime
Princess Mononoke	Hayao Miyazaki	Kurt	Orman Tanrısı	Demir	Anime
Howl's Moving Castle	Hayao Miyazaki	Yürüyen Şato	Cadı	Ateş	Anime
Your Name	Makoto Shinkai	Meteor	Rüya	Japonya	Anime
Akira	Neo-Tokyo	Motosiklet	Katsuhiro Otomo	Telekinezi	Anime
Ghost in the Shell	Motoko Kusanagi	Cyberpunk	Cyborg	Japonya	Anime
Grave of the Fireflies	İkinci Dünya Savaşı	Kardeşler	Ateş Böceği	Ghibli	Japonya
Suburbicon	George Clooney	Matt Damon	Julianne Moore	Coen	Mahalle
The Nice Guys	Ryan Gosling	Russell Crowe	Dedektif	70'ler	Komedi
The Banshees	Colin Farrell	İrlanda	Ada	Eşek	Bar
Babylon	Margot Robbie	Brad Pitt	Damien Chazelle	Hollywood	Sessiz
Licorice Pizza	Paul Thomas Anderson	70'ler	Alana Haim	Cooper Hoffman	Aşk
Nightmare Alley	Guillermo del Toro	Bradley Cooper	Sirk	Zihin Okuma	Karnaval
The Tragedy of Macbeth	Denzel Washington	Frances McDormand	Shakespeare	Coen	Siyah Beyaz
West Side Story	Steven Spielberg	Müzikal	Çete	Dans	New York
Belfast	Kenneth Branagh	Kuzey İrlanda	Çocukluk	Siyah Beyaz	Oscar
C'mon C'mon	Joaquin Phoenix	Radyo	Yeğen	Siyah Beyaz	Ses
Last Night in Soho	Edgar Wright	Anya Taylor-Joy	60'lar	Londra	Moda
The French Dispatch	Wes Anderson	Gazete	Fransa	Bill Murray	Dergi
Spencer	Kristen Stewart	Prenses Diana	Noel	Kraliyet	Saray
Annette	Adam Driver	Marion Cotillard	Müzikal	Kukla	Cannes
Pig	Nicolas Cage	Domuz	Trüf Mantarı	Aşçı	Portland
Judas and the Black Messiah	Daniel Kaluuya	Black Panther	FBI	FBI	Oscar
The Trial of the Chicago 7	Sacha Baron Cohen	Eddie Redmayne	Mahkeme	Darbe	60'lar
The Sound of Metal	Riz Ahmed	Bateri	Sağır	İşitme Cihazı	Oscar
Cannes Film Festivali	Altın Palmiye	Fransa	Kırmızı Halı	Jüri	Sinema
Venedik Film Festivali	Altın Aslan	İtalya	Sinema	Kanal	Ödül
Berlin Film Festivali	Altın Ayı	Almanya	Berlinale	Sinema	Ödül
Akademi Ödülleri	Oscar	Heykelcik	Los Angeles	Kırmızı Halı	Sinema
Sundance Film Festivali	Bağımsız Film	Utah	Robert Redford	Sinema	Festival
Altın Portakal	Antalya	Film Festivali	Türkiye	Heykel	Sinema
Yeşilçam	Türk Sineması	İstanbul	Beyoğlu	Eski	Siyah Beyaz
Metot Oyunculuğu	Marlon Brando	De Niro	Daniel Day-Lewis	Karakter	Aktör
MacGuffin	Alfred Hitchcock	Gizem	Sır	Çanta	Sinema
Cliffhanger	Asılı Kalma	Heyecan	Son	Sezon	Televizyon
Jump Scare	Korku	Ani	Ses	Sıçrama	Film
Kuğu Şarkısı	Son Eser	Jübile	Aktör	Film	Sanat
Cameo	Kısa Rol	Yönetmen	Stan Lee	Hitchcock	Görünme
Plot Twist	Ters Köşe	Sürpriz	Son	Şok	Hikaye
Spin-off	Yan Dizi	Karakter	Ayrı	Hikaye	Televizyon
Prequel	Öncesi	Geçmiş	Hikaye	Başlangıç	Film
Sequel	Devam Filmi	İkinci	Sonra	Karakterler	Seri
Remake	Yeniden Çekim	Eski	Uyarlama	Yeni	Film
Reboot	Yeniden Başlatma	Seri	Yeni	Karakter	Sinema
Storyboard	Çizim	Sahneler	Plan	Yönetmen	Kamera
CGI	Bilgisayar Efekti	Görsel	Yeşil Ekran	Animasyon	Grafik
Dolly Zoom	Vertigo Efekti	Kamera	Hitchcock	Yakınlaşma	Arka Plan
Bulmaca Kurgu	Memento	Inception	Zaman	Karmaşık	Film
B Tipi Film	Düşük Bütçe	Korku	Kült	Ucuz	Sinema
Mockumentary	Sahte Belgesel	The Office	Komedi	Kamera	Röportaj
