Slumdog Millionaire	Hindistan	Yarışma	Milyoner	Jamal	Dev Patel
Nomadland	Frances McDormand	Chloé Zhao	Karavan	Geçe	Oscar
The Father	Anthony Hopkins	Demans	Hafıza	Saat	Oscar
Sound of Metal	Riz Ahmed	Sağır	Bateri	İşitme	Sessizlik
Promising Young Woman	Carey Mulligan	İntikam	Doktor	Pembe	Oscar
Another Round	Mads Mikkelsen	Alkol	Öğretmen	Danimarka	Dans
Parasite Film	Bong Joon-ho	Bodrum	Güney Kore	Zengin	Fakir
1917 Film	Sam Mendes	Siper	Haberci	Birinci Dünya Savaşı	Fransa
Jojo Rabbit	Taika Waititi	Hitler	Çocuk	Nazi	Şapka
Little Women	Greta Gerwig	Kız Kardeşler	Yazar	Saoirse Ronan	Kitap
Marriage Story	Scarlett Johansson	Adam Driver	Boşanma	Tiyatro	Avukat
Once Upon a Time in Hollywood	Tarantino	Brad Pitt	Leonardo DiCaprio	1969	Dublör
Ford v Ferrari	Matt Damon	Christian Bale	Le Mans	Araba	Yarış
Knives Out	Daniel Craig	Benoit Blanc	Cinayet	Miras	Bıçak
Joker Film	Joaquin Phoenix	Palyaço	Gotham	Dans	Merdiven
Bohemian Rhapsody	Rami Malek	Freddie Mercury	Queen	Live Aid	Bıyık
Green Book	Mahershala Ali	Viggo Mortensen	Piyano	Güney	Şoför
Roma Film	Alfonso Cuarón	Meksika	Hizmetçi	Siyah Beyaz	Netflix
A Star Is Born	Lady Gaga	Bradley Cooper	Şarkıcı	Gitar	Shallow
Black Panther	Chadwick Boseman	Wakanda	Kral	Marvel	Vibranyum
Get Out	Jordan Peele	Hipnoz	Çay Bardağı	Irkçılık	Fotoğraf
The Shape of Water	Guillermo del Toro	Su Yaratığı	Dilsiz	Laboratuvar	Oscar
Three Billboards	Frances McDormand	Tabela	Cinayet	Polis	İntikam
Dunkirk Film	Nolan	Tahliye	Uçak	Savaş	Manş Deniz
Lady Bird	Saoirse Ronan	Greta Gerwig	Lise	Sacramento	Anne
Moonlight Film	Mahershala Ali	Miami	Mavi	Oscar	Deniz
La La Land Film	Emma Stone	Ryan Gosling	Dans	Hollywood	Caz
Arrival Film 2	Denis Villeneuve	Uzay Gemisi	Sembol	Amy Adams	Dil
Manchester by the Sea	Casey Affleck	Yangın	Amca	Tekne	Oscar
Hacksaw Ridge	Mel Gibson	Andrew Garfield	Silahsız	Sıhhiye	Japonya
Hell or High Water	Chris Pine	Banka Soygunu	Teksas	Kardeş	Şerif
Spotlight Film 2	Mark Ruffalo	Gazeteci	Boston	Araştırma	Kilise
The Revenant Film	Ayı Saldırısı	Kürk	Leonardo	Donma	İntikam
The Big Short	Christian Bale	Steve Carell	Kriz	Borsa	Konut
Mad Max Film	Charlize Theron	Çöl	Su	Gitar	Aksiyon
Room Film	Brie Larson	Kutu	Oda	Çocuk	Kaçış
Brooklyn Film	Saoirse Ronan	İrlanda	Göçmen	New York	Aşk
Bridge of Spies	Tom Hanks	Ajan	Doğu Berlin	Köprü	Spielberg
Inside Out	Duygular	Neşe	Üzüntü	Kafa	Pixar
Boyhood	12 Yıl	Ethan Hawke	Büyüme	Richard Linklater	Çocuk
The Grand Budapest Hotel	Ralph Fiennes	Müstahdem	Pembe Otel	Tablo	Wes Anderson
The Imitation Game	Alan Turing	Benedict Cumberbatch	Enigma	Matematik	Şifre
Nightcrawler	Jake Gyllenhaal	Kamera	Gece Haberleri	Kaza	Los Angeles
12 Years a Slave Film	Solomon	Chiwetel	Michael Fassbender	Tarlada	Özgürlük
Güneşin Oğlu	Haluk Bilginer	Özkan Uğur	Ruh	Güneş	Komedi
Ayla 2	Çalıkuşu	Reşat Nuri	Feride	Kamuran	Öğretmen
Bihter	Aşk-ı Memnu	Farah Zeynep	Behlül	Adnan	Yalı
Yargı	Kaan Urgancıoğlu	Pınar Deniz	Ilgaz	Ceylin	Savcı
Kızılcık Şerbeti	Doğa	Fatih	Pembe	Kıvılcım	Dizi
Gönül Dağı	Berk Atan	Taner	Dilek	Bozkır	İcat
Yalı Çapkını	Ferit	Seyran	Afra Saraçoğlu	Mert Ramazan	Yalı
Çukur	Aras Bulut İynemli	Yamaç	Vartolu	Dövme	Koçovalı
İçerde	Çağatay Ulusoy	Aras Bulut	Sarp	Umut	Polis
Güneşin Kızları	Hande Erçel	Burcu Özberk	Ali	Selim	Dizi
Sen Çal Kapımı	Hande Erçel	Kerem Bürsin	Eda	Serkan	Çiçekçi
Aşk 101	Alina Boz	Mert Yazıcıoğlu	Işık	Sinan	90'lar
Hakan: Muhafız	Çağatay Ulusoy	Tılsımlı Gömlek	İstanbul	Muhafız	Netflix
Fi	Ozan Güven	Serenay Sarıkaya	Can Manay	Duru	Dans
Atiye	Beren Saat	Mehmet Günsür	Göbeklitepe	Ressam	Netflix
Rise of Empires: Ottoman	Tuba Büyüküstün	Cem Yiğit Üzümcü	Fatih	İstanbul	Netflix
Erşan Kuneri	Cem Yılmaz	Zafer Algöz	Ezgi Mola	70'ler	Netflix
Sıcak Kafa	Osman Sonant	Salgın	Abuklama	Şapka	Netflix
Kübra	Çağatay Ulusoy	Gökhan	Mesaj	Allah	Netflix
Şahmaran	Serenay Sarıkaya	Burak Deniz	Yılan	Adana	Netflix
Kuzgun	Barış Arduç	Burcu Biricik	İntikam	Polis	Dizi
Fatma	Burcu Biricik	Temizlikçi	Cinayet	Koca	Netflix
Yakamoz S-245	Kıvanç Tatlıtuğ	Denizaltı	Güneş	Sığınak	Netflix
Terzi	Çağatay Ulusoy	Salih Bademci	Peyami	Esvet	Netflix
Zeytin Ağacı	Tuba Büyüküstün	Seda Bakan	Aile Dizimi	Ayvalık	Netflix
Kuş Uçuşu	Birce Akalay	Miray Daner	Aslı	Lale	Televizyon
Biz Kimseden Korkmayız	Şener Şen	Zeki Alasya	Metin Akpınar	Yeşilçam	Klasik
Şekerpare	İlyas Salman	Şener Şen	Komiser Rıza	Ziver	Ağa
Kibar Feyzo	Kemal Sunal	Müjde Ar	Şener Şen	Maho Ağa	Başlık Parası
Hababam Sınıfı	Kemal Sunal	Tarık Akan	Münir Özkul	İnek Şaban	Mahmut Hoca
Bizim Aile	Münir Özkul	Adile Naşit	Tarık Akan	Yaşar Usta	Turşu
Neşeli Günler	Münir Özkul	Adile Naşit	Oya Aydoğan	Sirke	Limon
Gülen Gözler	Münir Özkul	Adile Naşit	Şener Şen	Vecihi	Uçak
Çöpçüler Kralı	Kemal Sunal	Şener Şen	Apti	Park	Zabıta
Kapıcılar Kralı	Kemal Sunal	Seyit	Apartman	Daire	Çöp
Davaro	Kemal Sunal	Şener Şen	Hıdo	Sülo	Eşkıya
Korkusuz Korkak	Kemal Sunal	Bombacı Mülayim	Gaddar Kerim	Doktor	Lades
Sakar Şakir	Kemal Sunal	Marmara Kazım	Gardrop Fuat	Şerbetçi	Otobüs
